Atlas_Number,Entrances_Display_Name,Entrances_Number,Entrances_Type,Entrances_Position,Entrance_Summary,Entrances_Comments
0819,IR0819,1,Simple Gap,North east,In main rampart,null
0820,IR0820,1,Simple Gap,North,null,null
0820,IR0820,2,Simple Gap,South,null,null
0822,IR0822,1,Simple Gap,North,null,null
0823,IR0823,1,Simple Gap,North,null,null
0823,IR0823,2,Simple Gap,South,null,null
0824,IR0824,1,Simple Gap,North,null,null
0824,IR0824,2,Simple Gap,South,null,null
0824,IR0824,3,Simple Gap,West,null,null
0826,IR0826,1,Other Forms,North,"The fort was accessed through a stone casueway constructed on the landward side of the ditch. There was no evidence of a rampart or bank associated with the ditch. The stone casueway related to the medieval fortification and according to O'Kelly, a wooden drawbridge probably linked the stone casueway to the interior of the fort (O'Kelly 1952, 42).",null
0831,IR0831,1,Simple Gap,South east,Break in bank to the SE with an upright stone/jamb on E side.,null
0835,IR0835,1,Simple Gap,South,Single break in the bank on the S side with a rough casueway across the ditch.,null
0837,IR0837,1,Simple Gap,South,Single break in the bank on the S side with a rough casueway across the ditch. This break measured 2m in width.,null
0842,EN0842,1,Simple Gap,South west,Doubts on this entrance as out-turn possibly result of later digging.,null
0842,EN0842,2,Out-turned,West,Possible.,null
0843,IR0843,1,Simple Gap,South east,A possible causeway across the ditch is recorded at the south end of the ditch,null
0846,SC0846,1,Simple Gap,West,null,null
0848,IR0848,1,Other Forms,North west,"Westropp recorded 'a lintelled, stone-lined entrance' which is now collapsed. Remains as grass covered break (2m) in bank.",null
0849,SC0849,1,Simple Gap,South east,null,null
0849,SC0849,2,Hollow Way,West,null,null
0849,SC0849,2,Simple Gap,West,null,null
0852,SC0852,1,Simple Gap,South,null,null
0856,IR0856,1,Simple Gap,South east,null,null
0857,IR0857,1,Simple Gap,North east,Central gap in both banks where causeway crosses outer fosse,null
0858,SC0858,1,In-turned,East,Probably slightly inturned terminals to either side,null
0869,SC0869,1,Simple Gap,East,null,null
0871,SC0871,1,Simple Gap,East,null,null
0874,SC0874,1,Simple Gap,East,null,null
0875,SC0875,1,Simple Gap,East,With entrance way formong a deep hollow where it penetrates the innermost rampart.,null
0881,IR0881,1,Simple Gap,South west,simple gap with causeway over ditch,null
0882,SC0882,1,Simple Gap,South east,null,null
0882,SC0882,2,Simple Gap,South west,null,null
0883,SC0883,1,Passage-way/Corridor,East,null,null
0883,SC0883,2,Simple Gap,West,null,null
0884,SC0884,1,Simple Gap,South east,null,null
0884,SC0884,2,In-turned,North west,null,null
0885,SC0885,1,Simple Gap,South,null,null
0886,SC0886,1,Simple Gap,North west,Approached by a built pathway,null
0887,SC0887,1,Simple Gap,South,null,null
0887,SC0887,2,Other Forms,West,terraced track climbs obliquely up the W flank of the promontory but may be later,null
0889,SC0889,1,Simple Gap,West,Excavated,null
0890,SC0890,1,Passage-way/Corridor,South east,E entrance; in deep re-entrant,null
0890,SC0890,2,Passage-way/Corridor,South east,"Central entrance; outer rampart turns inwards into re-entrant, where there is a rock-cut passage-way",null
0890,SC0890,3,Passage-way/Corridor,South east,W entrance; outer rampart turns inwards to flank rock-cut passageway in an otherwise simple gap,null
0890,SC0890,3,Hollow Way,South east,"Deeply hollowed trackway mounts the slope obliquely, but cuts the rampart",null
0890,SC0890,4,Simple Gap,North west,In a deep natural re-entrant in the hill,null
0892,IR0892,1,Simple Gap,North west,Simple gap through banks crossing all three ditches by causeway.,null
0903,IR0903,1,Simple Gap,North east,null,null
0904,IR0904,1,Simple Gap,North,Causeway crosses the ditch to the N. The gap measures 1.5m in width.,null
0905,IR0905,1,Simple Gap,North west,Causeway,null
0908,IR0908,1,Simple Gap,North east,null,null
0908,IR0908,2,Simple Gap,West,null,null
0909,IR0909,1,Simple Gap,North east,null,null
0910,IR0910,1,Simple Gap,North west,null,null
0910,IR0910,2,Simple Gap,West,null,null
0911,IR0911,1,Simple Gap,West,null,null
0912,IR0912,1,Simple Gap,North east,null,null
0914,IR0914,1,Simple Gap,East,null,null
0915,IR0915,1,Simple Gap,North east,null,null
0915,IR0915,2,Simple Gap,South east,null,null
0916,IR0916,1,Simple Gap,East,null,null
0916,IR0916,2,Simple Gap,West,null,null
0918,IR0918,1,Simple Gap,North east,null,null
0921,IR0921,1,Simple Gap,North east,Through both ramparts,null
0922,IR0922,1,Simple Gap,East,null,null
0925,IR0925,1,Simple Gap,North,null,null
0925,IR0925,2,Simple Gap,East,null,null
0926,IR0926,1,Simple Gap,North,null,null
0926,IR0926,2,Simple Gap,East,null,null
0927,IR0927,1,Simple Gap,North east,null,null
0927,IR0927,2,Simple Gap,South east,null,null
0930,IR0930,1,Simple Gap,North,Through both circuits,null
0931,IR0931,1,Simple Gap,East,null,null
0931,IR0931,2,Simple Gap,South,null,null
0931,IR0931,3,Simple Gap,West,null,null
0933,IR0933,1,Simple Gap,South east,null,null
0934,SC0934,1,Simple Gap,North west,null,null
0936,IR0936,1,Simple Gap,South,null,null
0937,SC0937,1,Simple Gap,South,null,null
0937,SC0937,2,Simple Gap,North west,null,null
0938,SC0938,1,Simple Gap,South east,null,null
0941,IR0941,1,Simple Gap,South west,null,null
0944,IR0944,1,Simple Gap,South,null,null
0946,IR0946,1,Simple Gap,East,null,null
0946,IR0946,1,Simple Gap,West,null,null
0949,IR0949,1,Simple Gap,North,null,null
0950,IR0950,1,Simple Gap,North,null,null
0950,IR0950,2,Simple Gap,North east,null,null
0951,SC0951,1,Simple Gap,East,null,null
0952,SC0952,1,Simple Gap,East,null,null
0953,SC0953,1,Simple Gap,East,null,null
0954,SC0954,1,Simple Gap,East,null,null
0956,SC0956,1,Simple Gap,South west,null,null
0958,SC0958,1,Simple Gap,West,null,null
0959,IR0959,1,Simple Gap,North,Gap through inner bank with causeway across external ditch,null
0960,SC0960,1,Simple Gap,South west,Only through inner ditch,null
0961,IR0961,1,Simple Gap,North east,Through centre of outer rampart,null
0961,IR0961,1,Simple Gap,North east,At S end of inner rampart,null
0962,SC0962,1,Simple Gap,West,null,null
0963,IR0963,1,Simple Gap,North,Causeway across the ditch towards E margin of the promontory,null
0964,IR0964,1,Simple Gap,North,null,null
0964,IR0964,2,Simple Gap,South east,null,null
0965,SC0965,1,Simple Gap,East,Possible second entrance,null
0965,SC0965,2,Simple Gap,West,null,null
0968,IR0968,1,Simple Gap,North east,null,null
0968,IR0968,2,Simple Gap,South east,null,null
0969,IR0969,1,Simple Gap,North east,null,null
0969,IR0969,3,Simple Gap,East,null,null
0971,IR0971,1,Simple Gap,North,null,null
0971,IR0971,2,Simple Gap,East,null,null
0971,IR0971,3,Simple Gap,South,null,null
0971,IR0971,4,Simple Gap,West,null,null
0972,IR0972,1,Simple Gap,East,null,null
0974,SC0974,1,Simple Gap,East,null,null
0975,SC0975,1,Simple Gap,South east,null,null
0976,IR0976,1,Simple Gap,North east,Causeway across the ditch,null
0977,EN0977,1,Simple Gap,North east,Inner rampart,null
0977,EN0977,1,Simple Gap,North east,Middle rampart,null
0977,EN0977,1,Simple Gap,North east,Outer rampart,null
0977,EN0977,2,Simple Gap,North,Palisade,null
0978,IR0978,1,Simple Gap,South west,No longer visible,null
0982,SC0982,1,Simple Gap,South west,null,null
0984,SC0984,1,Simple Gap,West,In the second phase,null
0986,IR0986,1,Simple Gap,North east,null,null
0988,IR0988,1,Simple Gap,North,null,null
0988,IR0988,2,Simple Gap,West,null,null
0989,SC0989,1,Simple Gap,North east,null,null
0989,SC0989,2,Simple Gap,South west,null,null
0992,SC0992,1,Simple Gap,North east,null,null
0992,SC0992,2,Simple Gap,South west,null,null
0995,SC0995,1,Simple Gap,South west,Curious arrangement of the ramparts at this end of the fort possibly originating in some form of hornwork,null
0997,EN0997,1,Simple Gap,East,null,null
0998,EN0998,1,Simple Gap,West,null,null
0999,EN0999,1,Simple Gap,West,null,null
1000,EN1000,1,In-turned,South east,null,null
1001,EN1001,1,In-turned,West,null,null
1002,EN1002,1,In-turned,North,null,null
1004,IR1004,1,Simple Gap,North,null,null
1005,SC1005,1,Other Forms,South,Configuration unclear,null
1006,IR1006,1,Simple Gap,South,null,null
1006,IR1006,2,Simple Gap,South west,null,null
1008,SC1008,1,Simple Gap,East,null,null
1009,IR1009,1,Simple Gap,South east,null,null
1010,IR1010,1,Simple Gap,East,Through all four enclosing elements,null
1010,IR1010,2,Simple Gap,South,Through second enclosing element,null
1011,EN1011,1,In-turned,North east,null,null
1013,IR1013,1,Simple Gap,North,null,null
1013,IR1013,2,Simple Gap,South,null,null
1017,SC1017,1,Simple Gap,South,null,null
1019,IR1019,1,Simple Gap,North,null,null
1020,SC1020,1,Simple Gap,South west,null,null
1021,IR1021,1,Simple Gap,East,null,null
1021,IR1021,2,Simple Gap,South east,null,null
1022,IR1022,1,Simple Gap,East,null,null
1022,IR1022,2,Simple Gap,North,null,null
1023,SC1023,1,Simple Gap,East,null,null
1023,SC1023,2,Simple Gap,West,null,null
1025,SC1025,1,Simple Gap,North west,null,null
1026,SC1026,1,Simple Gap,South west,Well-formed track dropping down between the terminals,null
1028,SC1028,1,Simple Gap,North west,null,null
1029,IR1029,1,Simple Gap,North,null,null
1029,IR1029,2,Simple Gap,South,null,null
1030,SC1030,1,Simple Gap,West,null,null
1031,SC1031,1,Simple Gap,North east,null,null
1031,SC1031,2,Simple Gap,South west,null,null
1032,SC1032,1,Simple Gap,North west,null,null
1034,SC1034,1,In-turned,South west,Possibly slightly inturned rampart terminals,null
1035,SC1035,1,Simple Gap,West,null,null
1036,SC1036,1,Simple Gap,North east,null,null
1037,SC1037,1,Simple Gap,East,null,null
1037,SC1037,2,Simple Gap,West,null,null
1038,SC1038,1,Simple Gap,South east,null,null
1039,IR1039,1,Simple Gap,North,null,null
1042,SC1042,1,Passage-way/Corridor,East,Returns around the terminals of the ditch,null
1043,IR1043,1,Simple Gap,North,null,null
1044,IR1044,1,Simple Gap,North east,null,null
1048,IR1048,1,Simple Gap,West,null,null
1054,IR1054,1,Simple Gap,East,null,null
1057,IR1057,1,Simple Gap,South,null,null
1058,null,1,Simple Gap,null,null,null
1062,IR1062,1,Simple Gap,South,null,null
1066,IR1066,1,Simple Gap,North,null,null
1066,IR1066,2,Simple Gap,North,null,null
1068,IR1068,1,Simple Gap,East,null,null
1069,IR1069,1,Simple Gap,South,null,null
1071,IR1071,1,Simple Gap,South west,null,null
1072,IR1072,1,Simple Gap,South,null,null
1076,EN1076,1,Out-turned,South east,Inner rampart,null
1076,EN1076,1,Simple Gap,South east,Outer rampart. Out-turned terminal on the northern side,null
1076,EN1076,2,Simple Gap,North,null,null
1077,SC1077,1,Simple Gap,North east,null,null
1077,SC1077,2,Simple Gap,South west,null,null
1080,IR1080,1,Simple Gap,North east,null,null
1082,SC1082,1,Simple Gap,North east,null,null
1084,SC1084,1,Simple Gap,South west,null,null
1085,IR1085,1,Simple Gap,North west,null,null
1085,IR1085,2,Simple Gap,East,null,null
1086,IR1086,1,Simple Gap,East,null,null
1094,SC1094,1,Simple Gap,South east,null,null
1095,IR1095,1,Out-turned,North,"A gap in the bank and a slight rise mid-way along the ditch may mark the location of an entrance causeway into the site. This entrance opens outwards upon a steep, grassy hillside, which runs down to the N shore.",null
1096,IR1096,1,Simple Gap,East,null,null
1099,IR1099,1,Simple Gap,South east,null,null
1103,SC1103,1,Simple Gap,North east,null,null
1103,SC1103,2,Hornwork,South west,null,null
1103,SC1103,2,Passage-way/Corridor,South west,Ramparts return around the terminals of the ditch,null
1105,IR1105,1,Other Forms,North,Steps quarried into natural rock outcrop.,null
1105,IR1105,2,Simple Gap,North,null,null
1109,IR1109,1,Simple Gap,North,null,null
1110,IR1110,1,Uncertain,West,This entrance was destroyed by coastal erosion,null
1111,SC1111,1,Simple Gap,East,null,null
1112,SC1112,1,Passage-way/Corridor,North east,Ramparts return around the terminals of the ditch,null
1113,IR1113,1,Other Forms,South east,Probable checks at outer end of the passage,null
1114,EN1114,1,Hornwork,South west,Inner rampart,null
1114,EN1114,1,Hornwork,South west,Middle rampart,null
1114,EN1114,1,Hornwork,South west,Outer rampart,null
1114,EN1114,2,Simple Gap,South east,Inner rampart,null
1114,EN1114,2,Simple Gap,South east,Middle rampart,null
1114,EN1114,2,In-turned,South east,Outer rampart,null
1115,IR1115,1,Simple Gap,South,null,null
1116,SC1116,1,Simple Gap,North west,null,null
1118,IR1118,1,Other Forms,North east,"A lintelled passage, 1.1m wide, with sides formed of large upright slabs",null
1120,IR1120,1,Passage-way/Corridor,North east,null,null
1121,IR1121,1,Passage-way/Corridor,South east,null,null
1122,SC1122,1,Simple Gap,North east,null,null
1123,SC1123,1,Simple Gap,North,null,null
1123,SC1123,2,Simple Gap,South east,null,null
1124,SC1124,1,Passage-way/Corridor,North east,Ramparts return around the terminals of the ditch,null
1124,SC1124,2,Simple Gap,South east,Possible entrance but mutilated,null
1124,SC1124,3,Passage-way/Corridor,North west,Ramparts return around the terminals of the ditch,null
1125,SC1125,1,Simple Gap,West,null,null
1126,SC1126,1,Hollow Way,North east,null,null
1126,SC1126,1,Simple Gap,North east,null,null
1126,SC1126,2,In-turned,West,"Apparently a deep inturn, though possibly simply a rock-cut passage rather than a rampart inturn",null
1126,SC1126,2,Hollow Way,West,null,null
1127,SC1127,1,Oblique,East,Probably staggered palisade terminals in the 1st phase to create an oblique approach exposing the left side,null
1127,SC1127,2,Simple Gap,West,null,null
1128,SC1128,1,Simple Gap,East,null,null
1128,SC1128,2,Blocked,West,null,null
1128,SC1128,2,Simple Gap,West,null,null
1129,SC1129,1,Simple Gap,East,null,null
1130,SC1130,1,Simple Gap,East,null,null
1130,SC1130,2,Simple Gap,East,null,null
1130,SC1130,3,Simple Gap,South west,null,null
1130,SC1130,4,Simple Gap,North west,null,null
1131,IR1131,1,Simple Gap,South west,null,null
1132,IR1132,1,Passage-way/Corridor,South,null,null
1136,IR1136,1,Simple Gap,North east,null,null
1137,IR1137,1,Other Forms,North,Ramparts and ditch terminals staggered to either side of the gap,null
1140,IR1140,1,Passage-way/Corridor,South,The sides of the entrance were lined with upright slabs which also form the terminals of the walls,null
1142,EN1142,1,Simple Gap,South east,null,null
1142,EN1142,1,Recesses/Guard Chambers,South east,"Possible narrow entrance with guard chamber has been suggested, but cannot be confirmed.",null
1143,EN1143,1,Simple Gap,South east,Possible only.,null
1145,SC1145,1,Simple Gap,North east,No door checks,null
1146,SC1146,1,Simple Gap,South west,null,null
1146,SC1146,2,Simple Gap,South,null,null
1147,SC1147,1,Simple Gap,West,null,null
1150,SC1150,1,Simple Gap,South east,Some facing remains in place,null
1151,SC1151,1,Simple Gap,North east,null,null
1152,SC1152,1,Simple Gap,South west,null,null
1153,SC1153,1,Simple Gap,West,null,null
1154,WA1154,1,Outworks,South east,Complex.,null
1154,WA1154,1,Recesses/Guard Chambers,South east,null,null
1154,WA1154,2,Outworks,South,Complex,null
1154,WA1154,2,Recesses/Guard Chambers,South,null,null
1154,WA1154,3,Simple Gap,North west,null,null
1154,WA1154,3,Recesses/Guard Chambers,North west,null,null
1154,WA1154,4,Simple Gap,East,null,null
1154,WA1154,4,Recesses/Guard Chambers,East,null,null
1155,WA1155,1,In-turned,South,null,null
1155,WA1155,1,Recesses/Guard Chambers,South,null,null
1155,WA1155,2,In-turned,East,Additional hornwork on S side.,null
1155,WA1155,2,Hornwork,East,Additional hornwork on S side.,null
1156,WA1156,1,In-turned,North east,Oblique approach.,null
1156,WA1156,1,Oblique,North east,Oblique approach.,null
1156,null,1,Recesses/Guard Chambers,null,null,null
1157,WA1157,1,In-turned,South east,Takes advantage of a cleft in the hilltop.,null
1157,WA1157,1,Other Forms,South east,Takes advantage of a cleft in the hilltop.,null
1158,SC1158,1,Simple Gap,North west,null,null
1160,WA1160,1,Simple Gap,North east,Possible only.,null
1160,WA1160,2,Simple Gap,South east,Possible only.,null
1161,WA1161,1,Simple Gap,East,null,null
1164,WA1164,1,Other Forms,South east,Additional low bank located internally offset to the approach.,null
1164,WA1164,1,Oblique,South east,Approached along a narrow saddle on SE side to entrance.,null
1165,WA1165,1,In-turned,East,Good entrance.,null
1165,WA1165,2,Blocked,West,null,null
1166,WA1166,1,In-turned,South,null,null
1167,WA1167,1,In-turned,North east,Sited at head of natural gully/hollow way.,null
1167,WA1167,1,Hollow Way,North east,Long hollow way/gully.,null
1167,WA1167,1,Recesses/Guard Chambers,North east,null,null
1167,WA1167,2,Simple Gap,South,Sited at top of very steep slope and possibly stepped.,null
1167,WA1167,2,Simple Gap,South,Sited at top of very steep slope and possibly stepped.,null
1167,WA1167,3,In-turned,North west,Sited at head of natural gully/hollow way.,null
1167,WA1167,3,Hollow Way,North west,Natural gully/hollow way.,null
1167,WA1167,4,Simple Gap,North west,Annexe entrance.,null
1167,WA1167,5,Simple Gap,East,Postern gate.,null
1168,WA1168,1,Passage-way/Corridor,South east,null,null
1168,WA1168,1,Recesses/Guard Chambers,South east,null,null
1169,WA1169,1,In-turned,West,"One inturn much longer than the other,",null
1169,WA1169,1,Recesses/Guard Chambers,West,null,null
1170,SC1170,1,Simple Gap,South east,null,null
1171,WA1171,1,In-turned,North east,Complex staggered main entrance.,null
1171,WA1171,1,Over-lapping,North east,Complex staggered main entrance.,null
1171,WA1171,2,In-turned,West,Straight through ramparts.,null
1172,SC1172,1,Simple Gap,South west,In inner enclosure,null
1172,SC1172,2,Simple Gap,West,In outer enclosure,null
1174,WA1174,1,Simple Gap,East,null,null
1175,WA1175,1,Simple Gap,East,Type estimated - possibly ploughed-out.,null
1177,WA1177,1,In-turned,North east,null,null
1178,WA1178,1,Simple Gap,North east,Possible hint of inturns in past.,null
1178,WA1178,1,In-turned,North east,"Degraded, but possible hint of inturns in past.",null
1179,WA1179,1,In-turned,North east,Long passageway,null
1179,WA1179,1,Passage-way/Corridor,North east,Long passageway.,null
1179,WA1179,1,Recesses/Guard Chambers,North east,null,null
1179,WA1179,2,Simple Gap,South west,Possibly more than simple gap.,null
1179,WA1179,2,Simple Gap,South west,Possibly more than simple gap.,null
1180,SC1180,1,Simple Gap,East,null,null
1182,WA1182,1,Simple Gap,East,Features obliterated.,null
1184,WA1184,1,In-turned,North,Upper level enclosure.,null
1184,WA1184,2,In-turned,North,Lower level enclosure.,null
1185,WA1185,1,Simple Gap,East,null,null
1185,WA1185,2,Simple Gap,West,null,null
1187,WA1187,1,Simple Gap,South west,null,null
1188,WA1188,1,Simple Gap,North east,null,null
1189,WA1189,1,Simple Gap,North,null,null
1190,WA1190,1,Simple Gap,North,Possible outworks suggested.,null
1190,WA1190,1,Outworks,North,Possible outworks suggested.,null
1190,WA1190,2,Simple Gap,East,Possible entrance only.,null
1192,WA1192,1,Simple Gap,South east,null,null
1193,WA1193,1,Simple Gap,South west,Causewayed approach.,null
1194,WA1194,1,Simple Gap,East,null,null
1195,WA1195,1,Simple Gap,West,null,null
1196,WA1196,1,Simple Gap,West,null,null
1197,WA1197,1,Simple Gap,North east,null,null
1198,WA1198,1,In-turned,South west,Possible outworks.,null
1198,WA1198,1,Outworks,South west,"Possible outworks, but part possible natural spur.",null
1198,WA1198,2,In-turned,North west,Possible outworks.,null
1198,WA1198,2,Outworks,North west,Possible outworks.,null
1199,WA1199,1,Over-lapping,South west,Staggered entrance.,null
1200,WA1200,1,In-turned,North west,Complex entrance has inturned and out-turned banks to inner circuit.,null
1200,WA1200,1,Out-turned,North west,Complex entrance has inturned and out-turned banks to inner circuit.,null
1200,WA1200,1,In-turned,North west,Complex entrance has inturns to outer circuit.,null
1201,SC1201,1,Simple Gap,South east,null,null
1201,SC1201,2,Simple Gap,South west,null,null
1202,WA1202,1,Passage-way/Corridor,South east,Oblique passage.,null
1202,WA1202,1,Oblique,South east,Oblique passage.,null
1202,WA1202,1,Other Forms,South east,Monoliths outside possibly connected.,null
1203,WA1203,1,Simple Gap,South east,null,null
1204,WA1204,1,Simple Gap,North west,null,null
1206,WA1206,1,In-turned,South west,null,null
1209,WA1209,1,Simple Gap,South east,Cut by track.,null
1210,WA1210,1,Simple Gap,North east,null,null
1211,WA1211,1,In-turned,North east,Sloping passageway.,null
1211,WA1211,1,Passage-way/Corridor,North east,Sloping passageway.,null
1212,WA1212,1,Simple Gap,South,null,null
1217,WA1217,1,In-turned,North,null,null
1217,WA1217,2,Simple Gap,West,null,null
1218,WA1218,1,Oblique,South west,Oblique breach in inner rampart.,null
1219,WA1219,1,Simple Gap,West,null,null
1221,WA1221,1,Over-lapping,South east,Staggered overlapping entrance.,null
1221,WA1221,2,Over-lapping,North,Staggered overlapping entrance.,null
1222,WA1222,1,Simple Gap,East,null,null
1222,WA1222,2,Simple Gap,North west,Possible site only.,null
1224,WA1224,1,Simple Gap,North east,null,null
1224,WA1224,2,Simple Gap,North west,"Possible second gap 2m wide at centre of NW side, but this may be due to quarrying.",null
1225,WA1225,1,Passage-way/Corridor,North east,null,null
1226,SC1226,1,Simple Gap,North west,Through inner rampart,null
1226,SC1226,1,Simple Gap,North,Through outer rampart or annexe,null
1231,SC1231,1,Simple Gap,South west,null,null
1232,SC1232,1,Simple Gap,East,Appears recent through the two inner ramparts,null
1236,SC1236,1,Simple Gap,West,null,null
1238,SC1238,1,Simple Gap,South,null,null
1240,SC1240,1,Simple Gap,East,Through the outer ditch but without a corresponding gap in the inner,null
1241,SC1241,1,Passage-way/Corridor,North west,palisaded passage-way located by excavation outside the ditches,null
1242,SC1242,1,Simple Gap,North east,Hollowed approach via a gully.,null
1243,SC1243,1,Simple Gap,West,"Identified by David Christison (1893, 389-90, pl 5, fig 4)",null
1243,null,2,Simple Gap,null,"Post lined, in inner enclosure",null
1246,IR1246,1,Simple Gap,North west,"A causeway is recorded at the W end of the defences, 5m from the W cliff edge",null
1247,IR1247,1,Simple Gap,East,null,null
1249,IR1249,1,Simple Gap,North east,null,null
1250,IR1250,1,Simple Gap,East,null,null
1252,IR1252,1,Simple Gap,North,Causeway crossing the defences at roughly their mid-point,null
1253,WA1253,1,Simple Gap,North east,null,null
1253,WA1253,2,Simple Gap,South west,Hollow way.,null
1253,WA1253,2,Hollow Way,South west,Hollow way in evidence.,null
1257,WA1257,1,Simple Gap,South west,Type estimated.,null
1258,IR1258,1,Simple Gap,North east,Possible original entrance now blocked piercing all defensive elements. Facing noted on each side.,null
1258,IR1258,2,Simple Gap,North east,Possible original entrance now blocked piercing all defensive elements. Facing noted on each side,null
1259,IR1259,1,Simple Gap,North east,A 5.8m wide causeway crosses these defences near the centre.,null
1259,IR1259,1,Simple Gap,North east,A 4m wide causeway crosses these defences near the centre.,null
1260,IR1260,1,Simple Gap,East,null,null
1263,IR1263,1,Simple Gap,East,null,null
1265,WA1265,1,Simple Gap,North east,null,null
1266,EN1266,1,Simple Gap,North east,null,null
1267,WA1267,1,Simple Gap,West,Possible entrance only and not proven.,null
1269,WA1269,1,Simple Gap,North west,null,null
1269,WA1269,1,Recesses/Guard Chambers,North west,null,null
1272,IR1272,1,Simple Gap,North east,null,null
1274,IR1274,1,Simple Gap,East,null,null
1275,IR1275,1,Simple Gap,South east,null,null
1276,WA1276,1,Passage-way/Corridor,South east,Diagonal passageway.,null
1276,WA1276,1,Oblique,South east,Diagonal overlooked passageway.,null
1276,WA1276,2,Simple Gap,South west,Possible. Outer bank has two gaps on SW.,null
1278,WA1278,1,In-turned,North east,Approached by a slightly sunken track bounded by interesting banks.,null
1278,WA1278,1,Hollow Way,North east,Approached by a slightly sunken track bounded by interesting banks.,null
1278,WA1278,2,In-turned,South west,null,null
1280,WA1280,1,In-turned,North,Possible entrance.,null
1280,WA1280,1,Simple Gap,South west,Main castle entrance. Possible hillfort entrance?,null
1281,IR1281,1,Simple Gap,South east,null,null
1283,IR1283,1,Simple Gap,North,"A possible original entrance is recorded centrally, serviced by a causeway 1.2m wide. Upright slabs lined the edges of this and a few of these still survive towards the S end",null
1283,IR1283,1,Recesses/Guard Chambers,North,"The lintelled entrance passage is 2m wide and 2.3m high with slightly corbelled side walls. Two small chambers are incorporated within the thickness of the wall on either side of this. The passage was also extended outwards, but was reduced in width and height to .92m and 1.24m respectivelyrespectively",null
1284,WA1284,1,Passage-way/Corridor,South east,Not proven,null
1287,SC1287,1,Simple Gap,East,null,null
1289,SC1289,1,Simple Gap,South east,null,null
1289,SC1289,1,Hornwork,South east,Possible feature springing from the outer ditch,null
1291,SC1291,1,Simple Gap,North west,null,null
1293,IR1293,1,Simple Gap,South,null,null
1297,SC1297,1,Uncertain,South east,Form of the entrance is unknown,null
1298,EN1298,1,Simple Gap,East,null,null
1300,WA1300,1,Simple Gap,North,null,null
1300,WA1300,2,Simple Gap,South,null,null
1300,WA1300,3,Simple Gap,East,null,null
1300,WA1300,4,Simple Gap,West,null,null
1302,WA1302,1,Simple Gap,South west,null,null
1303,IR1303,1,Simple Gap,South west,In the innermost set of defences along the SE margin of the promontory,null
1306,WA1306,1,Simple Gap,North east,null,null
1307,WA1307,1,Simple Gap,East,null,null
1308,WA1308,1,Simple Gap,North east,null,null
1309,WA1309,1,Simple Gap,North east,Causewayed entrance.,null
1311,WA1311,1,In-turned,South east,Long inturned passage entrance.,null
1311,WA1311,1,Passage-way/Corridor,South east,Long inturned passage entrance.,null
1313,WA1313,1,Simple Gap,West,Possibly hint of out-turn to S terminal.,null
1313,WA1313,1,Out-turned,West,Possibly hint of out-turn to S terminal.,null
1314,WA1314,1,Simple Gap,South east,null,null
1315,WA1315,1,In-turned,East,null,null
1316,WA1316,1,In-turned,South,Inner rampart deeply inturned.,null
1316,WA1316,1,Passage-way/Corridor,South,Passage circa 28m long narrowing to 3m at the gate.,null
1316,WA1316,1,Simple Gap,South,Simple gaps through the outer defences.,null
1316,WA1316,2,In-turned,North east,Deeply inturned inner rampart.,null
1316,WA1316,2,Simple Gap,North east,Possibly approached by a causeway.,null
1316,WA1316,2,Passage-way/Corridor,North east,Passage 25m long narrowing to 2m.,null
1317,WA1317,1,Simple Gap,North,Type estimated.,null
1318,WA1318,1,Hollow Way,North east,Hollow way 3m wide runs through NE part of defences.,null
1318,WA1318,2,Hollow Way,South west,Type estimated.,null
1319,IR1319,1,Simple Gap,West,null,null
1320,WA1320,1,In-turned,North east,null,null
1320,WA1320,2,In-turned,South east,null,null
1321,WA1321,1,Simple Gap,South east,null,null
1322,WA1322,1,In-turned,North,null,null
1324,WA1324,1,Simple Gap,North west,null,null
1326,WA1326,1,Simple Gap,North east,null,null
1326,WA1326,2,Simple Gap,North west,null,null
1327,WA1327,1,Simple Gap,South east,Approached by an ancient track guarded by outworks.,null
1327,WA1327,1,Outworks,South east,Approached by an ancient track guarded by outworks.,null
1332,WA1332,1,Simple Gap,West,null,null
1333,WA1333,1,In-turned,East,Located by Savory in 1947.,null
1333,WA1333,1,Recesses/Guard Chambers,East,null,null
1335,SC1335,1,Simple Gap,South east,null,null
1336,WA1336,1,Simple Gap,East,null,null
1337,SC1337,1,Simple Gap,South west,null,null
1338,SC1338,1,Simple Gap,South west,In the inner circuit,null
1338,SC1338,2,Simple Gap,North east,In the outer circuit,null
1338,SC1338,3,Simple Gap,South,In the outer circuit,null
1338,SC1338,4,Simple Gap,West,In the outer circuit,null
1341,SC1341,1,Simple Gap,East,Ragged gap in the wall,null
1341,SC1341,2,Simple Gap,West,Vitrifaction visible to either side,null
1344,WA1344,1,Simple Gap,North,Possible on NW.,null
1345,WA1345,1,Simple Gap,East,"None visible, but possible site.",null
1346,WA1346,1,Simple Gap,North east,Causewayed entrance.,null
1347,WA1347,1,In-turned,South west,Oblique approach with long passage.,null
1347,WA1347,1,Oblique,South west,Oblique approach.,null
1347,WA1347,1,Passage-way/Corridor,South west,Long passage.,null
1347,WA1347,2,Outworks,North east,Simpler passage with outworks.,null
1348,WA1348,1,Outworks,North east,Possible outworks.,null
1351,WA1351,1,Out-turned,South,null,null
