Main_Atlas_Number,Main_Display_Name,Boundary_Boundary_Comments,Boundary_Boundary_Type,Boundary_Current_Parish_2
935,"Magherintemple, Cavan",NA,NA,NA
936,"Killoughterane, Carlow (Knockscur)",A field boundary runs E-W through the centre of the hillfort and forms the townland boundary between Killoughterane and Knockscur.,Parish/Townland,Knockscur
937,"Castlehill, Dumfries & Galloway (Pilmuir Common; Castlehill, Dryfesdale; Hallmuir)",NA,NA,NA
938,"Hallmuir, Dumfries & Galloway",NA,NA,NA
939,"Ballynarry, Donegal (Crockacashel Hill)",NA,NA,NA
940,"Nutholm, Dumfries & Galloway (Camp Hill; Nutholmhill Farm)",NA,NA,NA
941,"Carrowmore, Donegal",NA,NA,NA
942,"Nutholm Hill, Dumfries & Galloway (Nutholmhill)",NA,NA,NA
943,"Crislaghmore, Donegal (Cashel Hill)",NA,NA,NA
944,"Balleeghan Lower, Donegal (Doonmore Hill)",NA,NA,NA
945,"Oakbank, Dumfries & Galloway (Nether Murthat; Oakbank)",NA,NA,NA
946,"Carrownderry, Galway",NA,NA,NA
947,"Buckiebank Plantation, Dumfries & Galloway",NA,NA,NA
948,"Dalton, Dumfries & Galloway (Thistle Cottage; Kirkwood Lodge)",NA,NA,NA
949,"Clooncah, Galway",NA,NA,NA
950,"Moanbaun, Galway",A field boundary cuts the E section of the enclosing elements and forms the townland boundary between Castlelambert and Moanbaun.,NA,NA
951,"Braehead, Dumfries & Galloway (Braehill Oak Wood; Oakbank)",NA,NA,NA
952,"Balgray Cleuchheads, Dumfries & Galloway",NA,NA,NA
953,"Burrain Skelton, Dumfries & Galloway (Cleuchheads Hill; Burane Skentoun)",NA,NA,NA
954,"Blindhillbush Hill, Dumfries & Galloway",NA,NA,NA
955,"Ballynarrid, Waterford (Slippery Island)",NA,NA,NA
956,"Mosshead Hill, Dumfries & Galloway",NA,NA,NA
957,"Ballynarrid, Waterford (Danes Island)",NA,NA,NA
958,"Fairholm, Dumfries & Galloway",NA,NA,NA
959,"Ballyvoony, Waterford",NA,NA,NA
960,"Blackford, Dumfries & Galloway",NA,NA,NA
961,"Coolum, Waterford",NA,NA,NA
962,"Millbank, Dumfries & Galloway",NA,NA,NA
963,"Dunbrattin, Waterford",NA,NA,NA
964,"Brewel West, Kildare (Brewel Hill)",NA,NA,NA
965,"Greenhillhead, Dumfries & Galloway",NA,NA,NA
967,"Gallaberry, Dryfeholm, Dumfries & Galloway (Gallaberry Hill)",NA,NA,NA
968,"Ringlestown, Meath (Ringlestown Rath)",NA,NA,NA
969,"Raferagh, Monaghan",NA,NA,NA
970,"Dryfesdalegate, Dumfries & Galloway (Dryfesdale Gate)",NA,NA,NA
971,"Ballymartin, Mayo (Lisnatreanduff)",NA,NA,NA
972,"Ballykilleen, Offaly (Ballykilleen Hill)",NA,NA,NA
973,"Green Hill, Dumfries & Galloway (Dryfe Water)",NA,NA,NA
974,"Catharine's Hill, Dumfries & Galloway (River Annan; Nether Murthat)",NA,NA,NA
975,"Woodend, Dumfries & Galloway (Johnstone)",NA,NA,NA
976,"Dunbrattin, Waterford",NA,NA,NA
977,"Knock Hill, Northumberland",NA,NA,NA
978,"Dunmore (Shanooan), Waterford (Black Knob)",NA,NA,NA
979,"Dundoran, Dumfries & Galloway (Dundoran Plantation)",NA,NA,NA
980,"Garrarus, Waterford (Illauncoltia)",NA,NA,NA
981,"Islandhubbock, Waterford",NA,NA,NA
982,"Carthur Hill, Dumfries & Galloway (Boreland)",NA,NA,NA
983,"Islandikane East/Islandikane South, Waterford",NA,Parish/Townland,Islandikane South
984,"Broom Hill, Dumfries & Galloway (Cacrabank Hill; Broomhill)",NA,NA,NA
986,"Killowen, Offaly",NA,NA,NA
987,"Togher, Offaly",NA,NA,NA
988,"Carrowkeel, Roscommon",NA,NA,NA
989,"Peat Hill, Dumfries & Galloway (Dryfe Water)",NA,NA,NA
990,"Castleruby, Roscommon (Tonroe, Lissawaddy)",The enclosure is bisected by the boundary between Castleruby and Tonroe townlands.,Parish/Townland,Tonroe.
991,"Moydow, Roscommon (Moydow Hill)",NA,NA,NA
992,"Castle Hill, Dumfries & Galloway",NA,NA,NA
993,"Rockville, Roscommon (Mullinashee Wood)",NA,NA,NA
994,"Carrowgilhooly, Sligo",NA,NA,NA
995,"Rangecastle, Dumfries & Galloway (Rangecastle Hill; Range Castle)",NA,NA,NA
996,"Beacon Hill, Leicestershire",NA,NA,NA
997,"Hallaton Wood, Leicestershire",NA,NA,NA
998,"Robin-a-Tiptoe Hill, Leicestershire",NA,NA,NA
999,"Bury Camp, Leicestershire (Ratby Camp; Ratby Burrow)",NA,NA,NA
1000,"Burrough Hill, Leicestershire",NA,NA,NA
1001,"The Bulwarks, Leicestershire (Breedon Hill; Breedon-On-The-Hill)",NA,NA,NA
1002,"Life Hill, Leicestershire",NA,NA,NA
1003,"Blackberry Hill, Leicestershire",NA,NA,NA
1004,"Muckelty, Sligo",NA,NA,NA
1005,"Alais Knowe, Elbeckhill, Dumfries & Galloway",NA,NA,NA
1006,"Mullaghcor, Sligo",NA,NA,NA
1007,"Bigwood, Westmeath (The Hill of Mael, The Hill of Moat)",NA,NA,NA
1008,"Dinwoodie Hill, Dumfries & Galloway (Dalmakethar; Millhill)",NA,NA,NA
1009,"Oldcourt, Wicklow (Woodend Hill)",NA,NA,NA
1010,"Rathmoon, Wicklow",NA,NA,NA
1011,"Middle Houghton, Northamptonshire (Great Houghton)",NA,NA,NA
1012,"Athgoe, Dublin (Athgoe Hill, Raheen)",NA,NA,NA
1013,"Ardcarney, Clare",NA,NA,NA
1015,"Dalmakethar, Dumfries & Galloway",NA,NA,NA
1016,"Ballyneillan, Clare (Cairn Hill)",NA,NA,NA
1017,"Dalmakethar, Dumfries & Galloway",NA,NA,NA
1019,"Ballybroony, Mayo (Rathnabart)",NA,NA,NA
1020,"Broomhillbank Hill, Dumfries & Galloway (Broom Hill Bank Hill)",NA,NA,NA
1021,"Ballynamrossagh, Tipperary (Rathmoyle)",NA,NA,NA
1022,"Ballyneety, Tipperary",The E section of the outer bank forms the boundary between Ardfinnan and Ballyneety townlands.,Parish/Townland,NA
1023,"Broomhillbank Hill, Dumfries & Galloway (Broom Hill Bank Hill)",NA,NA,NA
1024,"Dornock Mains, Dumfries & Galloway (Dornoch; Gleningle)",NA,NA,NA
1025,"Robgill, Dumfries & Galloway",NA,NA,NA
1026,"Carterton, Dumfries & Galloway",NA,NA,NA
1027,"Boeeshil, Leitrim",NA,NA,NA
1028,"Dormont Rig, Carterton, Dumfries & Galloway",NA,NA,NA
1029,"Garristown, Dublin",NA,NA,NA
1030,"Whitcastles, Dumfries & Galloway",NA,NA,NA
1031,"Newland Hill, Dumfries & Galloway",NA,NA,NA
1032,"Craighousesteads, Dumfries & Galloway",NA,NA,NA
1033,"Cleuchheads, Dumfries & Galloway (Wynholm Burn)",NA,NA,NA
1034,"Doe's Hill, Dumfries & Galloway (Kirtlehead)",NA,NA,NA
1035,"Mid Hill, Dumfries & Galloway (Cairnknowe; Haggy Hill)",NA,NA,NA
1036,"Minsca, Dumfries & Galloway (Minsca Farm)",NA,NA,NA
1037,"Newhall Hill (NW), Dumfries & Galloway (Newhall Farm)",NA,NA,NA
1038,"Newhall Hill (SE), Dumfries & Galloway (Newhall Farm)",NA,NA,NA
1039,"Kilfarrasy, Waterford",NA,NA,NA
1040,"Knockmahon, Waterford",NA,NA,NA
1041,"Rathmoylan, Waterford",NA,NA,NA
1042,"Crawthat Cottage, Dumfries & Galloway",NA,NA,NA
1043,"West-Town, Waterford (Great Island)",NA,NA,NA
1044,"Woodstown, Waterford",NA,NA,NA
1045,"Kilpoole Upper, Wicklow",NA,NA,NA
1046,"Mountbagnall, Louth (Mota Gormfhlaith)",NA,NA,NA
1047,"Nook, Wexford",NA,NA,NA
1048,"Ramstown, Wexford (Dundonnell)",NA,NA,NA
1049,"Castlewideham, Cork (Dun Cruadha)",NA,NA,NA
1050,"Gort An Choirce, Donegal (Cashel)",NA,NA,NA
1051,"Slieve, Louth",NA,NA,NA
1052,"Knockagh, Louth",NA,NA,NA
1053,"Kane, Louth",NA,NA,NA
1054,"Anneville, Clare",NA,NA,NA
1055,"Oldcourt, Cork","The Awbeg and Bregoge Rivers form the boundaries of Byblox, Horseclose and Oldcourt townlands.",NA,NA
1056,"Drombrow, Cork",NA,NA,NA
1057,"Ballyhugh, Cavan",NA,NA,NA
1058,"Glasleck, Cavan",NA,NA,NA
1059,"Garrysallagh (D'Arcy), Cavan",Curve in river at N forms the townland boundary between Garrysallagh (D'Arcy) and Crover.,NA,NA
1060,"Mullagh, Cavan",NA,NA,NA
1061,"Tullynavinn, Donegal",NA,NA,NA
1062,"Doon, Donegal (Doon Rock)",NA,NA,NA
1063,"Templetown, Wexford",NA,NA,NA
1064,"Saltee Island Great, Wexford (Saltee Island Great)",NA,NA,NA
1065,"Conundrum South, Northumberland (Halidon Hill Iron Age Fort)",NA,NA,NA
1066,"An Machaire, Donegal",NA,NA,NA
1067,"Drumnasillagh, Donegal",NA,NA,NA
1068,"An Bhraid Ochtarach, Donegal",NA,NA,NA
1069,"Liathleitir, Galway",NA,NA,NA
1070,"Fawnlion, Leitrim",NA,NA,NA
1071,"Woodford Demesne, Leitrim",NA,NA,NA
1072,"Ballinwing, Leitrim",NA,NA,NA
1073,"Glen (Richards), Wexford (Pollshone Moat)",NA,NA,NA
1074,"Ballinteskin, Louth",The river at the E forms the boundary between Ballinteskin and Ballyona townlands.,NA,NA
1075,"Ballycahill, Limerick",The Camoge River to the N forms the boundary between Ballycahill and Rathanny townlands.,NA,NA
1076,"Chatton Law Camp, Northumberland (Chatton Park)",NA,NA,NA
1077,"Bessie's Hill, Dumfries & Galloway",NA,NA,NA
1078,"Errew, Mayo",NA,NA,NA
1079,"Cloghans, Mayo",NA,NA,NA
1080,"Treanbeg, Mayo",NA,NA,NA
1081,"Doontrusk, Mayo",NA,NA,NA
1082,"Bank Head Hill, Dumfries & Galloway (Bankhead Hill; Bank Head Hill 2; Bankburnfoot)",NA,NA,NA
1083,"Castlecarra, Mayo (Doon Wood.)",NA,NA,NA
1084,"Enzieholm, Bogle Walls, Dumfries & Galloway",NA,NA,NA
1085,"Carrickspringan, Meath (Big Rock.)",NA,NA,NA
1086,"Knowth, Meath",The S section of the enclosing elements form the townland boundary of Knowth and Newgrange.,NA,NA
1087,"Billholm, Dumfries & Galloway (River Esk)",NA,NA,NA
1088,"Greaghnaglogh, Roscommon (Doon Roeree)",NA,NA,NA
1089,"Castletenison Demesne, Roscommon",NA,NA,NA
1090,"Cloonamore (Cluana Mór), Galway (Inishbofin) (Dunahineena)",NA,NA,NA
1091,"Annagh, Roscommon",NA,NA,NA
1092,"Churchacres, Roscommon",NA,NA,NA
1093,"Beagh, Roscommon",NA,NA,NA
1094,"Camp Hill, Bailiehill, Dumfries & Galloway (Bailiehill)",NA,NA,NA
1095,"Curragh (An Curragh), Galway (Caherdoona (Fort of The City))",NA,NA,NA
1096,"Ballymore, Roscommon",NA,NA,NA
1097,"Shankoagh, Roscommon",NA,NA,NA
1098,"Fahy (An Fhaiche), Galway",NA,NA,NA
1099,"Dundermot, Roscommon",NA,NA,NA
1100,"Fawnmore (An Fán Mór), Fawnmore (Inishbofin)",NA,NA,NA
1101,"Warren, Roscommon (Rindown Peninsula)",NA,NA,NA
1102,"High Island (Ardoileán), Galway (High Island)",NA,NA,NA
1103,"Castle O'Er, Dumfries & Galloway",NA,NA,NA
1104,"Inishark (Inis Airc), Galway",NA,NA,NA
1105,"Clogher Beg, Sligo",NA,NA,NA
1106,"Inishshark, Galway (Inishark) (Dooneenapisha)",NA,NA,NA
1107,"Bleakmoor Hill, Northumberland (Harden Quarry)",NA,NA,NA
1108,"Hazelwood Demesne, Sligo",NA,NA,NA
1109,"Knoxspark, Sligo",NA,NA,NA
1110,"Killeany (Cill Ñinne), Galway (Inis Mór) (Dooncaher (The Black Fort))",NA,NA,NA
1111,"Haw Birren, Westside, Dumfries & Galloway (Westside)",NA,NA,NA
1112,"Tanlawhill, Dumfries & Galloway",NA,NA,NA
1113,"Westquarter (An Cheathr– Iartharach), Galway (Inishbofin) (Doonmore (Big Fort))",NA,NA,NA
1114,"Hetton Dean West, Northumberland",Parish boundary between Chatton and Lowick runs through Hetton Dean to the E,Parish/Townland,Lowick
1115,"Lahanagh, Sligo",NA,NA,NA
1116,"Douglas Farm, Dumfries & Galloway (Wardens Dykes; Boghead; The Bracken; Gretna)",NA,NA,NA
1117,"Westquarter (An Cheathr– Iartharach), Westquarter (Inishbofin) (Doongrania)",NA,NA,NA
1118,"Alaghee/Alachaí Mór, Kerry (Doongar)",NA,NA,NA
1119,"Ballyhoge, Wexford",NA,NA,NA
1120,"Cloghanecanuig (Clochán Ceannúigh), Kerry (Iveragh Peninsula) (An Dún)",NA,NA,NA
1121,"Cool East (An Chúil Thoir), Kerry (Iveragh Peninsula) (Dún Rua (Red Fort))",NA,NA,NA
1122,"Gilknockie Castle, Dumfries & Galloway (Gilnockie Bridge)",NA,NA,NA
1123,"Loch Hill, Dumfries & Galloway (Glendivan; Hoghill)",NA,NA,NA
1124,"Shaw Hill, Calkin, Dumfries & Galloway (Cauldkinefoot; Culkin)",NA,NA,NA
1125,"Craig Hill, Dumfries & Galloway (Craig)",NA,NA,NA
1126,"Little Hill, Craig, Dumfries & Galloway (Little Hill Craig; Craighill)",NA,NA,NA
1127,"Gibb's Hill, Dumfries & Galloway (Logan Water)",NA,NA,NA
1128,"Brieryshaw Hill, Dumfries & Galloway",NA,NA,NA
1129,"Kirk Hill, Scottish Borders",NA,NA,NA
1130,"Carby Hill, Scottish Borders",NA,NA,NA
1131,"Cool West (An Chúil Thiar), Cool West (Iveragh Peninsula) (Dundagallan; Dún Dá Ghallán (fort of the two pillars))",NA,NA,NA
1132,"Emlagh (An Timleach), Kerry (Doonear)",NA,NA,NA
1133,"Foilnageragh (Faill na Gcaoireach), Kerry (Iveragh Peninsula) (Dromgour  (Goats Ridge))",NA,NA,NA
1134,"Reencaheragh (Rinn Chathrach), Kerry (Caisleán Rinn Chathrach; Doon Point)",NA,NA,NA
1135,"Reencaheragh (Rinn Chathrach), Kerry",NA,NA,NA
1136,"Ballyickeen Commons (Coimên Bhaile Cên), Kerry (Doonbinnia)",NA,NA,NA
1137,"Ballymacadoyle (Baile Mhic and Daill), Kerry (Doon; An Dún)",NA,NA,NA
1138,"Ballymore West (Baile Móir Thiar), Kerry (Fail na Mná)",NA,NA,NA
1139,"Ballymore West (Baile Móir Thiar), Kerry (An Dúinín)",NA,NA,NA
1140,"Ballynahow (Baile na Habha), Kerry (Doonore; An Dún Rua)",NA,NA,NA
1141,"Hepburn Bell, Northumberland",NA,NA,NA
1142,"Shipman Head, Isles of Scilly",NA,NA,NA
1143,"Burnt Hill, St Martin's, Isles of Scilly",NA,NA,NA
1144,"Giant's Castle, St Mary's, Isles of Scilly",NA,NA,NA
1145,"Arran, Glenashdale, North Ayrshire",NA,NA,NA
1146,"Arran, Dippen, North Ayrshire",NA,NA,NA
1147,"Arran, Dippen, North Ayrshire",NA,NA,NA
1148,"Arran, Clauchlands, 'Dun Fionn', North Ayrshire",NA,NA,NA
1149,"Arran, An Cnap, North Ayrshire",NA,NA,NA
1150,"Arran, North Sannox, Torr An T' Sean Chaisteil, North Ayrshire",NA,NA,NA
1151,"Bute, Ardnahoe, Argyll & Bute",NA,NA,NA
1152,"Bute, Loch Quien, Argyll & Bute",NA,NA,NA
1153,"Bute, Dun Scalpsie, Argyll & Bute",NA,NA,NA
1154,"Moel Hiraddug, Denbighshire (Moel Hiraddug Camp)",NA,NA,NA
1155,"Penycloddiau, Denbighshire (Pen y Cloddiau)",NA,County,Ysceifiog
1156,"Moel Arthur, Flintshire",NA,County,Llandwrnog
1157,"Llwyn Bryn Dinas, Powys (Llwyn Bryn-Dinas)",NA,NA,NA
1158,"Cadzow, South Lanarkshire (Hamilton High Parks; High Parks Farm)",NA,NA,NA
1159,"Castell Dinas Brân, Denbighshire (Castle Dynas Bran)",NA,Parish/Townland,Llangollen rural
1160,"Pen y Gaer, Trefor, Denbighshire",NA,NA,NA
1161,"y Gardden, Ruabon, Wrexham (Gardden Camp, Caer Din; y Dref Fawr; Coed Cristionydd)",NA,NA,NA
1162,"Caer Estyn, Flintshire",NA,NA,NA
1164,"Moel Ffagnallt, Flintshire",NA,NA,NA
1165,"Moel y Gaer, Rhosesmor, Flintshire (Moel-y-Gaer Camp)",NA,NA,NA
1166,"Bryn-y-Gaer, Broughton, Wrexham (Bryn-y-Gaer Enclosure)",NA,NA,NA
1167,"Pen y Corddyn Mawr, Conwy (Pen y Gorddyn; Pen-y-Corddyn-Mawr, Abergele; Pen-y-Corddyn Camp)",NA,NA,NA
1168,"Dinorben, Conwy (Parc y Meirch)",NA,NA,NA
1169,"Castell Cawr, Conwy",NA,NA,NA
1170,"Crogals Castle, North Lanarkshire",NA,NA,NA
1171,"Moel y Gaer, Llanbedr, Denbighshire",NA,NA,NA
1172,"Bute, Barone Hill, Argyll & Bute",NA,NA,NA
1173,"Caer Ddunod, Conwy (Caer-Ddunod)",NA,NA,NA
1174,"Caer Caradog, Conwy",NA,NA,NA
1175,"Pwll-y-Clai, Denbighshire (Caer Bryn; Pwll y Clai; Prolly Clai)",NA,NA,NA
1177,"Dinas Melin-y-Wig, Denbighshire",NA,NA,NA
1178,"Moel Fodig, Denbighshire",NA,NA,NA
1179,"Caer Drewyn, Denbighshire (Caer Drewen)",NA,NA,NA
1180,"Bute, Little Dunagoil, Argyll & Bute",NA,NA,NA
1182,"Craig yr y chain, Denbighshire (Craig yr ychen; Craig yr Uchain)",NA,NA,NA
1183,"Pen y Gaer, Efenechtyd, Denbighshire",NA,NA,NA
1184,"Craig Adwy Wynt, Denbighshire (Craig Adwywynt; Craig-Adwy-Wynt)",NA,NA,NA
1185,"Cerrig Gwynion, Wrexham (Mynnyd Bach Camp; Roman Camp Wood)",NA,NA,NA
1187,"Pen-y-Coed, Powys",NA,NA,NA
1188,"Pant-y-Ffridd, Powys (Ffridd Penthryn West)",NA,NA,NA
1189,"Lawn Farm, Powys",NA,NA,NA
1190,"Fron Goth Ii, Powys (Fron-Goth)",NA,NA,NA
1192,"Mynydd Llangorse, Powys (Cockit Hill)",NA,NA,NA
1193,"Perwlwyn Coppice, Powys (Derwlwyn Coppice)",NA,NA,NA
1194,"Nant Tarthwynni West, Powys (Nant Tarthwyni I; Nant Torthwyni)",NA,NA,NA
1195,"Garth Hill Enclosure, Nantmel, Powys",NA,NA,NA
1196,"Llwyn Llwyd, Powys",NA,NA,NA
1197,"Bausley Hill, Powys (Bausley Camp; Castle Camp)",NA,NA,NA
1198,"Cefn-y-Castell, Powys (Middletown Hill)",NA,NA,NA
1199,"Pen-y-Castell Ii, Powys (Pen-y-Castell Hillfort)",NA,NA,NA
1200,"Pen-y-Clun, Powys (Pen y Clun)",NA,NA,NA
1201,"Bute, Dunagoil, Argyll & Bute",NA,NA,NA
1202,"Pen y Gaer, Llanidloes, Powys",NA,NA,NA
1203,"Coed Mawr Gaer, Powys (y Gaer, Coed Mawr; Gaer Fechan)",NA,NA,NA
1204,"Sibwll Wood Camp, Powys (Clwt Camp)",NA,NA,NA
1205,"Coneypark, Falkirk (Easter Auchincloich)",NA,NA,NA
1206,"Fronderw Wood Camp, Powys (Fron Derw Camp; Fron Derw Wood Camp)",NA,NA,NA
1207,"Cwm Golog, Kerry, Powys (Cwm-Golog)",NA,NA,NA
1209,"Rhyd Uchaf Ii, Powys",NA,NA,NA
1210,"Gelli-Nedd, Powys",NA,NA,NA
1211,"Coed Pentwyn, Powys (Coed Pen-Twyn)",NA,NA,NA
1212,"Cross Oak, Powys",NA,NA,NA
1217,"Moel y Gaer, Bodfari, Denbighshire (Moel-y-Gaer, Bodfari)",NA,NA,NA
1218,"Craig-y-Ddinas, Pontneddfechan, Powys (Craig y Dinas)",NA,NA,NA
1219,"Bryn Euryn Camp, Rhos-On-Sea, Conwy (Bryn Eirin)",NA,NA,NA
1221,"Mynydd-y-Gaer, Conwy",NA,NA,NA
1222,"Llangenny Camp, Powys (Coed Cefn)",NA,NA,NA
1223,"Gallt-y-Gog, Powys",NA,NA,NA
1224,"Fron Goch, Powys",NA,NA,NA
1225,"Corn y Fan, Powys",NA,NA,NA
1226,"Barmore, Argyll & Bute",NA,NA,NA
1227,"Great Cumbrae Island, Down Craig, North Ayrshire",NA,NA,NA
1228,"Bute, Kerrytonlia, Argyll & Bute",NA,NA,NA
1229,"Great Cumbrae, The Lorn, North Ayrshire",NA,NA,NA
1230,"Buachailean, Argyll & Bute",NA,NA,NA
1231,"Kildoon Hill, South Ayrshire",NA,NA,NA
1232,"Hallowshean, South Ayrshire (Hollowshean Camp)",NA,NA,NA
1233,"Captain's Bridge, Drummochreen, South Ayrshire",NA,NA,NA
1234,"Heads of Ayr, South Ayrshire (Bower Hill)",NA,NA,NA
1235,"Bower Hill, South Ayrshire (Heads of Ayr)",NA,NA,NA
1236,"Dunduff, South Ayrshire",NA,NA,NA
1237,"West Kilbride, Seamill, North Ayrshire",NA,NA,NA
1238,"Knockjargon, North Ayrshire (Knock Jargon)",NA,NA,NA
1239,"Law Hill, North Ayrshire",NA,NA,NA
1240,"Knoweside, South Ayrshire",NA,NA,NA
1241,"Montfode Mount, North Ayrshire",NA,NA,NA
1242,"Largs, Castle Hill, North Ayrshire (Cockmalane; Gogo Water)",NA,NA,NA
1243,"Carwinning Hill, North Ayrshire",NA,NA,NA
1244,"Coumeenoole North/Com Dhêneol Thuaidh, Kerry (Dún Mor (Big Fort))",NA,NA,NA
1245,"Doonmanagh (Dún Meánach), Kerry",NA,NA,NA
1246,"Doonsheane (Dún Sián), Kerry (Doonmore; An Dún Mór and Doonbeg; An Dún Beag)",NA,NA,NA
1247,"Knockglass More (An Cnoc Glas Mór), Kerry (An Dún (The Fort))",NA,NA,NA
1248,"Minard West (Minn Aird Thiar), Kerry",NA,NA,NA
1249,"Paddock, Kerry (Doonywealaun (Dún Uí Mhaoláin))",NA,NA,NA
1250,"Minard West (Minn Aird Thiar), Kerry",NA,NA,NA
1251,"Murirrigane (Muragrán), Kerry (An Cathairin)",NA,NA,NA
1252,"Kilfarnoge (Cill Fearnóg), Kerry (Monacarroge (Móin na Caróige))",NA,NA,NA
1253,"Coed Fennifach, Powys (Coed Fenni-Fach Camp; Fennifach Camp; Fenni-Fach Camp)",NA,NA,NA
1257,"Fron Haul, Powys",NA,NA,NA
1258,"Doonties Commons (Coimên Nd–Nta), Kerry (The Bulls Head)",NA,NA,NA
1259,"Ballyoughteragh South (Baile Uachtarach Thiar), Kerry (Doon Point; Dún an Fheirtéaraigh)",NA,NA,NA
1260,"Tiduff (An Tigh Duibh), Kerry (Cathair Cairbre Mór (Cahercarbery (More))",NA,NA,NA
1261,"Tiduff (An Tigh Duibh), Kerry (Cathair Cairbre Beag)",NA,NA,NA
1262,"Barrow, Kerry",NA,NA,NA
1263,"Beal Middle, Kerry (Lissadooneen (Lios an Dúinín - ringfort of the little fortification))",NA,NA,NA
1264,"Ballybunion, Kerry",NA,NA,NA
1265,"Wyle Cop Camp, Caersws, Powys",NA,NA,NA
1266,"Caesar's Camp, Scholes Coppice, South Yorkshire (Castle Holmes)",The parish boundary between Rotherham and Wentworth borders the rampart in the NE,Parish/Townland,Wentworth
1267,"Knucklas Castle, Powys (Cnwclas Castle; Castle Ring)",NA,NA,NA
1268,"Cefn-Du Camp, Powys (Cefn-Du Castle)",NA,NA,NA
1269,"Cefnllys Castle, Powys (Castell Glan Iethon, Castle Bank)",NA,NA,NA
1270,"Doon West, Kerry (Stack's Promontory Fort)",NA,NA,NA
1271,"Meenogahane, Kerry (Lisheen (The Little Ringfort))",NA,NA,NA
1272,"Coarha Beg, Kerry (Cromwell's Fort)",NA,NA,NA
1273,"Clashmelcon, Kerry",NA,NA,NA
1274,"Clashmelcon, Kerry (Dooneen)",NA,NA,NA
1275,"Meenogahane, Kerry (Lisheen-Cankeragh (Little Fort of The Sheep's Head))",NA,NA,NA
1276,"y Breiddin, Powys (Breddin Hillfort; The Breiddin Hillfort; Breiddin Hill Camp)",NA,NA,NA
1277,"Dolforwyn Castle, Abermule, Powys",NA,NA,NA
1278,"Aberllynfi Gaer, Powys (Gwernyfed Gaer; Gwernyfed Park Camp; The Gaer, Aberllynfi; Three Cocks Hillfort, Gwernyfed)",NA,NA,NA
1279,"Doon West, Kerry ('Poulaninneen', Poll na NinOnach (Hole of The Daughters))",NA,NA,NA
1280,"Castell Dinas, Talgarth, Powys",NA,NA,NA
1281,"Bromore West, Kerry (Tonalassa (Tóin an Leasa - back of the ringfort))",NA,NA,NA
1282,"Doon East, Kerry (Doon Point)",NA,NA,NA
1283,"Fahan/Fán (Dún Beg), Kerry (Dunbeg; An Dún Beg)",NA,NA,NA
1284,"Castell Tinboeth, Powys (Castell Dinbaud, Llananno)",NA,NA,NA
1286,"The Knock, North Ayrshire",NA,NA,NA
1287,"Doonans Hill, South Ayrshire",NA,NA,NA
1288,"Carrowmoran, Sligo",NA,NA,NA
1289,"Greenan Castle, South Ayrshire",NA,NA,NA
1290,"Kilkillogue, Sligo (Dún Baltra)",NA,NA,NA
1291,"Dowan's Hill, South Ayrshire",NA,NA,NA
1292,"Donaghintraine, Sligo",NA,NA,NA
1293,"Carrowmoran, Sligo",NA,NA,NA
1294,"Carrownrush, Sligo (Lackavarna)",NA,NA,NA
1295,"Carrownrush, Sligo",NA,NA,NA
1296,"Vivod, Denbighshire",NA,NA,NA
1297,"Dundonald Castle, South Ayrshire",NA,NA,NA
1298,"Knolls End Promontory Fort, North Yorkshire",The parish boundary between Whorlton and Faceby cut through the enclosure,Parish/Townland,Faceby
1299,"Howth, Dublin (Dun Griffen and The Bailey Fort)",NA,NA,NA
1300,"Allt-yr-Esgair, Powys (Allt-yr-Yscrin)",NA,NA,NA
1302,"Twyn-y-Gaer, Trallwng, Powys",NA,NA,NA
1303,"Lambay Island, Dublin (The Garden Fort)",NA,NA,NA
1304,"Lambay Island, Dublin",NA,NA,NA
1306,"Ffinant Isaf, Aberysgir, Powys",NA,NA,NA
1307,"Gaer Fawr, Alltarnog, Powys",NA,NA,NA
1308,"Gaer Fach, Merthyr Cynog, Powys",NA,NA,NA
1309,"Twyn-y-Gaer, Garthbrengy, Powys",NA,NA,NA
1310,"Gates Hill Camp, Nidd Gorge, North Yorkshire",NA,NA,NA
1311,"Pen-y-Crug, Powys (Pen y Crug)",NA,NA,NA
1313,"Tre Durn Wood, Powys (Tredurn Wood)",NA,NA,NA
1314,"Gogerddan Camp, Powys (Gogerddan)",NA,NA,NA
1315,"Pen Rhiw Wen, Powys (Llyswen Camp; Llys-Wen; Pen-Rhiw Wen)",NA,NA,NA
1316,"Hillis Camp, Powys (Hillis Fort; Hillis; Llanfilo Camp)",NA,NA,NA
1317,"Pen-yr-Allt, Powys (Pen yr Allt; Western Camp)",NA,NA,NA
1318,"Drostre Bank, Powys",NA,NA,NA
1319,"Drumanagh, Dublin",NA,NA,NA
1320,"Pendre, Talgarth, Powys",NA,NA,NA
1321,"Twyn y Gaer, Defynnog, Powys (y Gaer; Craig y Gaer)",NA,NA,NA
1322,"y Gaer, Pen-Pont, Powys (Twyn y Gaer)",NA,NA,NA
1323,"Scarborough Castle, North Yorkshire (Castle Hill Promontory Fort)",NA,NA,NA
1324,"Slwch Tump, Powys (Slwch Camp; Ginger Wall)",NA,NA,NA
1326,"Twyn Llechfaen, Powys",NA,NA,NA
1327,"Tump Wood Camp, Powys",NA,NA,NA
1328,"Tyle Clydach, Powys",NA,NA,NA
1329,"Wardlaw Hill, South Ayrshire",NA,NA,NA
1330,"Harpercroft, South Ayrshire",NA,NA,NA
