Main_Atlas_Number,Main_Display_Name,Boundary_Boundary_Comments,Boundary_Boundary_Type,Boundary_Current_Parish_2
92,"Wall Camp, Kynnersley, Shropshire (The Wall; Kinnersley Wall)",NA,Parish/Townland,Tibberton
93,"Walton Camp, Shropshire",NA,NA,NA
94,"Wart Hill, Shropshire",NA,NA,NA
95,"Grimsbury Castle, West Berkshire (Grimsbury Camp)",NA,NA,NA
96,"Bussock Camp, West Berkshire (Bussock Wood Camp)",NA,NA,NA
97,"Walbury Camp, West Berkshire","Formerly bisected by the historic counties of Berkshire and Hampshire.  Now in West Berkshire, it crosses two parishes, Combe and Inkpen, although the scheduling record mentions a third parish, that of West Woodhay. The Inkpen or North Hampshire Ridgeway follows the same line, bisecting the hillfort.",Parish/Townland,Inkpen
98,"Ramsbury, West Berkshire (Ramsbury Corner)","Although situated entirely in Thatcham it lies at the junction of three parishes, Thatcham, Cold Ash and Bucklebury",Parish/Townland,Cold Ash and Bucklebury
99,"Membury Camp, Wiltshire (Membury Fort)","Greater part of site in Wiltshire; that to NE pre 1974 formerly in Berkshire, now in West Berkshire.",County,Lambourn
100,"Eston Nab, North Yorkshire",Union and Urban District Boundary shown running through the E of the enclosure on historic OS mapping,Other,NA
101,"Perborough Castle, West Berkshire (Compton Castle)",Parish boundary between Compton and Hampstead Norreys runs to the S of the hillfort,Parish/Townland,Hampstead Norreys
102,"Caesar's Camp, Bracknell Forest",NA,NA,NA
103,"Allen Knott, Cumbria",NA,NA,NA
104,"Barrock Fell, Cumbria (Barrock Tell)",NA,NA,NA
105,"Humbledon Hill, Tyne and Wear (Homeldon; Hamdon; Hamylden; Hamildon; Humbledon Bank)",NA,NA,NA
106,"Carrock Fell, Cumbria",The parish boundaries of Caldbeck and Mungrisdale run centrally E-W within the enclosure,Parish/Townland,Mungrisdale
107,"Castle Crag, Bampton, Cumbria",NA,NA,NA
108,"Castle Crag, Borrowdale, Cumbria",NA,NA,NA
109,"Castle How, Peel Wyke, Cumbria",NA,NA,NA
110,"Castle Howe, Little Langdale, Cumbria",NA,NA,NA
111,"Castlesteads, The Helm, Cumbria (Castle Steeds)","The parish boundary runs centrally N-S through The Helm. A wall whch appears on the first edition Ordnance Survey map (1858), marks the boundary between Natland parish to the W and Stainton to the E.",Parish/Townland,Stainton
112,"Castlesteads, Lowther Park, Cumbria",NA,NA,NA
113,"Shoulthwaite Gill, Cumbria (Castle Crag, Shoulthwaite)",NA,NA,NA
114,"Castle Head, Cumbria (Atterpile Castle)",NA,NA,NA
115,"Maiden Castle, County Durham",NA,NA,NA
116,"Skelmore Heads, Cumbria (Great Urswick Fort)",NA,NA,NA
117,"Swarthy Hill, Cumbria",Parish boundary of Crosscanonby and Oughterside and Allerby to the E,Parish/Townland,Oughterside and Allerby
118,"Shackleton Beacon Hill, County Durham",NA,NA,NA
119,"Tilberthwaite, Cumbria",NA,NA,NA
120,"Dunmallard, Cumbria (Dunmallet, Dunmalloght,  Dunmallock)",NA,NA,NA
121,"Scarside Plantation, Cumbria",NA,NA,NA
122,"Kemp's Walk, Meikle Larbrax, Dumfries & Galloway (Kemp's Wark)",NA,NA,NA
123,"Dunskey Golf Course, Dumfries & Galloway (Portpatrick Post Office Radio Station; Fort Cottage)",NA,NA,NA
124,"Dounan Nose, Dally, Dumfries & Galloway",NA,NA,NA
125,"Croglam Castle, Cumbria",NA,NA,NA
127,"High Auchneel, Dumfries & Galloway",NA,NA,NA
128,"Portobello, Dumfries & Galloway (Mains of Cairnbrock)",NA,NA,NA
129,"Mare Rock, Dumfries & Galloway (High Auchneel)",NA,NA,NA
130,"Juniper Face, Dumfries & Galloway (High Auchneel)",NA,NA,NA
131,"Mare Rock, Dumfries & Galloway (High Auchneel)",NA,NA,NA
132,"Fort Point, Larbrax Moor, Dumfries & Galloway (Salt Pans Bay, Galdenoch)",NA,NA,NA
133,"Dunskirloch, Dumfries & Galloway",NA,NA,NA
134,"Cassington Ring, Oxfordshire (Cassington Mill Big Ring)",NA,NA,NA
135,"Tadmarton Camp, Oxfordshire (Tadmarton Heath Camp)",NA,Parish/Townland,Swalcliffe
136,"Madmarston Hill Camp, Oxfordshire (Madmarston Camp)",NA,NA,NA
137,"Alfred's Castle, Oxfordshire",NA,NA,NA
138,"Castle Grove Camp, Oxfordshire (Wyfold Castle)",NA,NA,NA
139,"Bozedown Camp, Oxfordshire (Binditch)",NA,NA,NA
140,"Blewburton Hill, Oxfordshire",NA,Parish/Townland,Blewbury
141,"Little Coxwell Camp, Oxfordshire (Lower Coxwell Camp; Onetree Hill)",NA,Parish/Townland,Fernham
142,"Sinodun Hill Camp, Oxfordshire (Castle Hill)",NA,NA,NA
143,"Cherbury Camp, Oxfordshire",NA,NA,NA
144,"Badbury Camp, Oxfordshire",NA,NA,NA
145,"Burroway, Oxfordshire",NA,NA,NA
146,"Uffington Castle, Oxfordshire (Woolstone Castle)",NA,NA,NA
148,"Chastleton Camp, Oxfordshire (Chastleton Barrow)",NA,NA,NA
149,"Bladon Camp, Oxfordshire (Round Castle)",NA,NA,NA
151,"Ilbury Camp, Oxfordshire",NA,NA,NA
152,"The Roundabout, Oxfordshire (Lyneham Camp; Merriscourt)",NA,NA,NA
153,"Knollbury Camp, Oxfordshire (Knoll Bury Roman Camp; Knollberry, Banks)",NA,NA,NA
154,"Hardwell Camp, Oxfordshire",NA,NA,NA
155,"Segsbury Camp, Oxfordshire (Letcombe Castle)",NA,NA,NA
156,"Little Tew, Oxfordshire",NA,NA,NA
157,"Hill Farm, Bruern, Oxfordshire",NA,NA,NA
158,"Eynsham Park Camp, Oxfordshire",NA,NA,NA
159,"Harborough Bank, Oxfordshire (Herborowe Bank)",NA,NA,NA
161,"Wigginton Heath, Oxfordshire",NA,NA,NA
162,"Castle Bank, Oxfordshire",NA,NA,NA
164,"Horspath, Oxfordshire",NA,NA,NA
165,"Silsbury Hill, Oxfordshire",NA,NA,NA
166,"Cholsey Hill, Oxfordshire",NA,NA,NA
167,"Rams Hill, Oxfordshire",NA,Parish/Townland,Kingston Lisle
168,"Bury Hill, Oxfordshire",NA,NA,NA
169,"Tilbury Farm, Oxfordshire",NA,NA,NA
170,"Hill Wood, Oxfordshire",NA,NA,NA
171,"Idbury Camp, Oxfordshire",NA,NA,NA
172,"Dyke Hills, Oxfordshire (Dike Hills)",NA,NA,NA
173,"Abingdon, The Vineyard, Oxfordshire",NA,NA,NA
174,"Cookham Dean, Berkshire",NA,NA,NA
175,"Muldaddie, Dumfries & Galloway",NA,NA,NA
176,"Crammag Head, Dumfries & Galloway (Crammag Fort, Crammock, Crummag Head, Crammog (Fort, Slock Mill))",NA,NA,NA
177,"Dunman, Dumfries & Galloway",NA,NA,NA
178,"Kenmuir Graves, Island Buoy, Dumfries & Galloway (Float Bay)",NA,NA,NA
179,"Dove Cave Head, Dumfries & Galloway (Little Float)",NA,NA,NA
180,"Grennan, Grennan Point, Dumfries & Galloway",NA,NA,NA
181,"Duniehinnie, Mull of Logan, Dumfries & Galloway (Duniehinnie; Mullhill)",NA,NA,NA
182,"Clanghie Bay, Dumfries & Galloway (Clanghie Point)",NA,NA,NA
183,"Clanghie Point, Dumfries & Galloway (Mullhill)",NA,NA,NA
184,"Kildrochet House, Dumfries & Galloway (Camp's Graves; Kildrochat House)",NA,NA,NA
185,"Dunbae Glen, Dumfries & Galloway",NA,NA,NA
186,"Cairn Pat, Dumfries & Galloway (Cairn Piot)",NA,NA,NA
187,"Kirklauchline, Dumfries & Galloway",NA,NA,NA
188,"The Dounan, Dumfries & Galloway",NA,NA,NA
189,"Tor of Craigoch, Dumfries & Galloway",NA,NA,NA
190,"Kemp's Graves, Glenhead of Aldouran, Dumfries & Galloway",NA,NA,NA
191,"Mid Dinduff, Dumfries & Galloway",NA,NA,NA
192,"Craigview, South Ayrshire",NA,NA,NA
193,"Caspin, Dumfries & Galloway (West Balscalloch)",NA,NA,NA
194,"Corseclays, South Ayrshire",NA,NA,NA
195,"Core Hill, Kirkmaiden, Dumfries & Galloway",NA,NA,NA
196,"Clanyard Bay, Dumfries & Galloway",NA,NA,NA
197,"The Dunnan, Portankill, Dumfries & Galloway (Mull of Galloway Farm; The Dounnan)",NA,NA,NA
198,"Carrickcamrie, West Cairngaan, Dumfries & Galloway",NA,NA,NA
199,"Dunorroch, West Cairngaan, Dumfries & Galloway",NA,NA,NA
200,"Mull Glen, West Tarbet, Dumfries & Galloway",NA,NA,NA
201,"Mull of Galloway, Dumfries & Galloway",NA,NA,NA
202,"Cardryne, Dumfries & Galloway",NA,NA,NA
203,"Mote Hill, Glenluce, Dumfries & Galloway (Glenluce)",NA,NA,NA
204,"Round Dounan, Dumfries & Galloway (Dunragit House)",NA,NA,NA
205,"East Galdenoch, Dumfries & Galloway",NA,NA,NA
206,"Barsolus, Dumfries & Galloway",NA,NA,NA
207,"Cruise Back Fell, Dumfries & Galloway",NA,NA,NA
208,"Bargain Hill, South Ayrshire",NA,NA,NA
209,"Duniewick, South Ayrshire",NA,NA,NA
210,"Doon of May, Dumfries & Galloway",NA,NA,NA
211,"Garliachen, Laigh Sinniness, Dumfries & Galloway",NA,NA,NA
212,"Bennan of Garvilland, Dumfries & Galloway",NA,NA,NA
213,"Maxwellston Hill, South Ayrshire",NA,NA,NA
214,"Enoch, South Ayrshire",NA,NA,NA
215,"Back Bay, Dumfries & Galloway",NA,NA,NA
216,"Laggan Camp, Dumfries & Galloway",NA,NA,NA
217,"Killantrae Bridge, Dumfries & Galloway (Killentrae Bridge)",NA,NA,NA
218,"Fell of Barhullion, Dumfries & Galloway",NA,NA,NA
219,"Barsalloch Point, Dumfries & Galloway (Barsalloch Fort)",NA,NA,NA
220,"Doon Hill, Boreland, Dumfries & Galloway",NA,NA,NA
221,"Doon Hill, Capenoch Croft, Dumfries & Galloway (Doon Fort)",NA,NA,NA
222,"Barnkirk Hill, Dumfries & Galloway",NA,NA,NA
223,"Drummoral, Dumfries & Galloway",NA,NA,NA
224,"Cairnhead Mote, Dumfries & Galloway",NA,NA,NA
225,"Steinhead Mote, Dumfries & Galloway",NA,NA,NA
226,"Isle Head, Dumfries & Galloway (Isle of Whithorn)",NA,NA,NA
227,"Court Hill, High Skeog, Dumfries & Galloway",NA,NA,NA
228,"Glasserton Hill, Dumfries & Galloway",NA,NA,NA
229,"Carghidown Castle, Dumfries & Galloway",NA,NA,NA
230,"Burrow Head, Dumfries & Galloway",NA,NA,NA
231,"Burrow Head, Dumfries & Galloway",NA,NA,NA
232,"Castle Feather, Dumfries & Galloway (Burrow Head)",NA,NA,NA
233,"Eggerness Castle, Dumfries & Galloway",NA,NA,NA
234,"Dinnans, Dumfries & Galloway",NA,NA,NA
235,"Dinnans, Dumfries & Galloway ('Old Fort')",NA,NA,NA
236,"Doon of Carsluith, Dumfries & Galloway",NA,NA,NA
237,"North Balfern, Dumfries & Galloway (Ring Hill)",NA,NA,NA
238,"Baldoon Hill, Dumfries & Galloway",NA,NA,NA
239,"Parliament Knowe, Dumfries & Galloway",NA,NA,NA
240,"Barn Heugh, Dumfries & Galloway",NA,NA,NA
241,"Trusty's Hill, Anwoth, Dumfries & Galloway",NA,NA,NA
242,"Boreland Wood, Dumfries & Galloway (Boreland of Girthon)",NA,NA,NA
243,"Court Knowe, High Auchenlarie, Dumfries & Galloway",NA,NA,NA
244,"Drummore Castle, Dumfries & Galloway (Castle Hill)",NA,NA,NA
245,"Doon Wood, Dumfries & Galloway",NA,NA,NA
246,"Muncraig Heugh, Dumfries & Galloway (Doo Cave)",NA,NA,NA
247,"Borness Batteries, Dumfries & Galloway",NA,NA,NA
248,"Manxman's Rock, Dumfries & Galloway (Fort)",NA,NA,NA
249,"Doon Hill, Dumfries & Galloway",NA,NA,NA
250,"Arden, Dumfries & Galloway (Campbelltown Mote)",NA,NA,NA
251,"The Doon, Twynholm, Dumfries & Galloway",NA,NA,NA
252,"Castle Hill, Dumfries & Galloway",NA,NA,NA
253,"Carse Mote, Dumfries & Galloway",NA,NA,NA
254,"Castle Hill, Dumfries & Galloway (Cumstounend, Compstonend)",NA,NA,NA
255,"Kirkchrist Mote, Dumfries & Galloway",NA,NA,NA
256,"Kirkland Fort, Dumfries & Galloway",NA,NA,NA
257,"Hell's Hole, Dumfries & Galloway",NA,NA,NA
258,"Conchieton Doon, Dumfries & Galloway (Conchieton, The Doon; Doon Hill)",NA,NA,NA
