image_no,link,title,author,licence
1,https://commons.wikimedia.org/wiki/File:Ordnance_Survey_National_Grid.svg,the ordnance survey national grid,"cmglee, Strebe, MansLaughter, Alexrk2 from naturalearthdata, Pethrus and nandhp",Creative Commons — Attribution-ShareAlike 3.0 Unported — CC BY-SA 3.0
2,https://commons.wikimedia.org/wiki/File:Standard_deviation_diagram.svg,normal curve,M. W. Toews,Creative Commons — Attribution-ShareAlike 2.5 Generic — CC BY-SA 2.5
