Main_Atlas_Number,Main_Display_Name,Location_X,Location_Y,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
67,"Ebury Hill, Shropshire (Ebury)",-297640,6935729,1.2200425880445383e-12,-1.9999977908892395,Shropshire,Shropshire,Uffington
68,"Fron Camp, Shropshire (The Vron)",-345633,6879506,1.7645735550763572e-12,-1.9999973432549576,Shropshire,Shropshire,Clun
69,"Haughmond Hill Camp, Shropshire (Haughmond Castle; Castle Earthwork)",-299054,6931318,1.2528334751204243e-12,-1.9999977613991198,Shropshire,Shropshire,Uffington
70,"Knowle, Shropshire",-288414,6865754,1.419790730450324e-12,-1.999997616900564,Shropshire,Shropshire,Hope Bagot
71,"Llanymynech Hill, Powys",-344171,6944572,1.4716214087412929e-12,-1.9999975737919227,Powys,Montgomeryshire,Carreghofa
73,"Nordy Bank, Shropshire",-292295,6883486,1.3946429472972753e-12,-1.999997638099962,Shropshire,Shropshire,Clee St Margaret
74,"Norton Camp, Shropshire",-313257,6878735,1.576691436932493e-12,-1.999997488672513,Shropshire,Shropshire,Culmington
75,"Old Oswestry, Shropshire",-339285,6959352,1.360670237589794e-12,-1.999997667044589,Shropshire,Shropshire,Selattyn and Gobowen
76,"Nesscliffe Hill Camp, Shropshire (Oliver's Point)",-324017,6940978,1.386607180222671e-12,-1.9999976449142858,Shropshire,Shropshire,Great Ness
77,"Pave Lane, Shropshire",-262973,6935996,9.435276549378452e-13,-1.999998057292966,Shropshire,Shropshire,Chetwynd Aston
78,"Pontesford Hill Camp, Shropshire (Pontesbury)",-320087,6917537,1.478782442057966e-12,-1.9999975678960202,Shropshire,Shropshire,Pontesbury
79,"Radnor Wood, Shropshire",-334085,6878164,1.7130468512919944e-12,-1.9999973823316854,Shropshire,Shropshire,Clunbury
80,"Ratlinghope Hill Camp, Shropshire (Ratlinghope Hill; Stitt Hill)",-320292,6903922,1.5389905222062888e-12,-1.9999975188788646,Shropshire,Shropshire,Ratlinghope
81,"Robury Ring, Shropshire",-321598,6897169,1.5742579498288986e-12,-1.9999974906112699,Shropshire,Shropshire,Wentnor
82,"Roveries House, Shropshire (The Roveries (Lower))",-333898,6896167,1.654456153705665e-12,-1.9999974274867125,Shropshire,Shropshire,Lydham
83,"Roveries Hill Camp, Shropshire (The Roveries (Upper))",-333494,6895804,1.65352571200472e-12,-1.9999974282101858,Shropshire,Shropshire,Lydham
84,"The Berth, Shropshire",-316895,6947502,1.303659781265233e-12,-1.9999977164415652,Shropshire,Shropshire,Baschurch
85,"The Burgs, Shropshire (The Buries; Bayston Hill)",-306853,6922934,1.3550649106481111e-12,-1.9999976718548922,Shropshire,Shropshire,Bayston Hill
86,"The Ditches, Mogg Forest, Shropshire (Larden Ditches; Mogg Ditches; The Rings; Wynbury Castle; Larden Castle)",-294591,6899138,1.3562553600099732e-12,-1.9999976708324576,Shropshire,Shropshire,Rushbury
87,"Upper Knuck Camp, Shropshire (The Knuck)",-344677,6885306,1.7437886795566929e-12,-1.9999973589481796,Shropshire,Shropshire,Mainstone
88,"The Lawley (North End), Shropshire (The Lawley (Lower))",-304472,6906271,1.409399756422008e-12,-1.9999976256371328,Shropshire,Shropshire,Longnor
89,"The Lawley (Summit), Shropshire (The Lawley (Upper))",-305861,6904243,1.428873768918553e-12,-1.9999976092898386,Shropshire,Shropshire,Longnor
90,"The Wrekin, Shropshire",-283633,6922454,1.1659829583525557e-12,-1.9999978403861842,Shropshire,Shropshire,Little Wenlock
91,"Titterstone Clee, Shropshire",-289034,6872454,1.4042110355999449e-12,-1.9999976300117843,Shropshire,Shropshire,Bitterley
92,"Wall Camp, Kynnersley, Shropshire (The Wall; Kinnersley Wall)",-275424,6938127,1.0293162612695444e-12,-1.9999979708955067,Shropshire,Shropshire,Kynnersley
93,"Walton Camp, Shropshire",-337880,6917554,1.5863299064576725e-12,-1.9999974810082124,Shropshire,Shropshire,Worthen with Shelve
94,"Wart Hill, Shropshire",-320981,6883291,1.6175917726888036e-12,-1.9999974563083736,Shropshire,Shropshire,Hopesay
95,"Grimsbury Castle, West Berkshire (Grimsbury Camp)",-140950,6700673,9.60504969371806e-13,-1.9999980398928914,West Berkshire,Berkshire,Hermitage
96,"Bussock Camp, West Berkshire (Bussock Wood Camp)",-147953,6701088,9.92199937698725e-13,-1.999998007815332,West Berkshire,Berkshire,Chieveley
97,"Walbury Camp, West Berkshire",-162994,6684152,1.0385666731240188e-12,-1.9999979617981718,West Berkshire,Berkshire,Combe
98,"Ramsbury, West Berkshire (Ramsbury Corner)",-138792,6696341,9.467378330132647e-13,-1.999998053990922,West Berkshire,Berkshire,Thatcham
99,"Membury Camp, Wiltshire (Membury Fort)",-174367,6705870,1.1107363440253274e-12,-1.9999978921704584,Wiltshire,Wiltshire,Ramsbury
100,"Eston Nab, North Yorkshire",-125108,7276260,2.604387606754375e-13,-1.9999989793359796,North Yorkshire,Yorkshire,Guisborough
101,"Perborough Castle, West Berkshire (Compton Castle)",-139322,6709896,9.594352666609145e-13,-1.9999980409846692,West Berkshire,Berkshire,Compton
102,"Caesar's Camp, Bracknell Forest",-84620,6689573,7.155842968954177e-13,-1.9999983081556847,Bracknell Forest,Berkshire,Easthampstead
103,"Allen Knott, Cumbria",-323217,7246580,7.225508508781011e-13,-1.9999982999401764,Cumbria,Westmorland,Windermere
104,"Barrock Fell, Cumbria (Barrock Tell)",-315583,7327016,1.6535239402948424e-12,-1.9999974282115638,Cumbria,Cumberland,Hesket
105,"Humbledon Hill, Tyne and Wear (Homeldon; Hamdon; Hamylden; Hamildon; Humbledon Bank)",-156895,7340606,6.850454220917368e-13,-1.9999983446505842,Tyne and Wear,County Durham,Sunderland
106,"Carrock Fell, Cumbria",-336321,7302609,1.3294956026870736e-12,-1.9999976939248905,Cumbria,Cumberland,Caldbeck
107,"Castle Crag, Bampton, Cumbria",-314055,7266864,8.834706492276941e-13,-1.9999981201376122,Cumbria,Westmorland,Bampton
108,"Castle Crag, Borrowdale, Cumbria",-351954,7271854,9.931193526693043e-13,-1.999998006892524,Cumbria,Cumberland,Borrowdale
109,"Castle How, Peel Wyke, Cumbria",-360585,7297348,1.2902753161443281e-12,-1.9999977281942722,Cumbria,Cumberland,Wythop
110,"Castle Howe, Little Langdale, Cumbria",-343368,7250126,7.795483500632696e-13,-1.9999982341592937,Cumbria,Cumberland,Lakes
111,"Castlesteads, The Helm, Cumbria (Castle Steeds)",-303055,7225692,5.64332334901258e-13,-1.9999984975588732,Cumbria,Westmorland,Natland and Stainton
112,"Castlesteads, Lowther Park, Cumbria",-305804,7288374,1.1012032778445635e-12,-1.9999979012353368,Cumbria,Westmorland,Yanwath and Eamont Bridge
113,"Shoulthwaite Gill, Cumbria (Castle Crag, Shoulthwaite)",-343328,7276932,1.0332329259449312e-12,-1.999997967038686,Cumbria,Cumberland,St John's Castlerigg and Wythburn
114,"Castle Head, Cumbria (Atterpile Castle)",-321599,7210069,5.07679409794907e-13,-1.9999985749674953,Cumbria,Westmorland,Grange-over -Sands
115,"Maiden Castle, County Durham",-173846,7317244,7.267546685387168e-13,-1.999998295001855,County Durham,County Durham,Durham
116,"Skelmore Heads, Cumbria (Great Urswick Fort)",-346532,7201886,4.978476553610554e-13,-1.9999985888335954,Cumbria,Lancashire,Urswick
117,"Swarthy Hill, Cumbria",-383789,7313289,1.4828462789261152e-12,-1.9999975645564847,Cumbria,Cumberland,Crosscanonby
118,"Shackleton Beacon Hill, County Durham",-183270,7285454,6.086487957132497e-13,-1.9999984396810637,County Durham,County Durham,Heighington
119,"Tilberthwaite, Cumbria",-341451,7246318,7.463289213828514e-13,-1.9999982721933889,Cumbria,Cumberland,Coniston
120,"Dunmallard, Cumbria (Dunmallet, Dunmalloght,  Dunmallock)",-314561,7287327,1.1037649061577449e-12,-1.9999978987956728,Cumbria,Westmorland,Dacre
121,"Scarside Plantation, Cumbria",-303718,7278215,9.82383633929983e-13,-1.9999980176946413,Cumbria,Westmorland,Bampton
122,"Kemp's Walk, Meikle Larbrax, Dumfries & Galloway (Kemp's Wark)",-574249,7340954,7.26930567659936e-13,-1.9999982947955341,Dumfries & Galloway,Wigtownshire,Leswalt
123,"Dunskey Golf Course, Dumfries & Galloway (Portpatrick Post Office Radio Station; Fort Cottage)",-570539,7331746,7.258752753678963e-13,-1.9999982960337146,Dumfries & Galloway,Wigtownshire,Portpatrick
124,"Dounan Nose, Dally, Dumfries & Galloway",-576354,7356380,7.475344277867523e-13,-1.9999982707985338,Dumfries & Galloway,Wigtownshire,Kirkcolm
125,"Croglam Castle, Cumbria",-262558,7258556,7.286381417575049e-13,-1.9999982927939295,Cumbria,Westmorland,Kirkby Stephen
127,"High Auchneel, Dumfries & Galloway",-577199,7350467,7.320192051966604e-13,-1.999998288837582,Dumfries & Galloway,Wigtownshire,Leswalt
128,"Portobello, Dumfries & Galloway (Mains of Cairnbrock)",-577281,7352276,7.35221672277203e-13,-1.9999982850986358,Dumfries & Galloway,Wigtownshire,Kirkcolm
129,"Mare Rock, Dumfries & Galloway (High Auchneel)",-577351,7349990,7.30340576983892e-13,-1.9999982908006821,Dumfries & Galloway,Wigtownshire,Leswalt
130,"Juniper Face, Dumfries & Galloway (High Auchneel)",-577308,7349818,7.302005964875387e-13,-1.9999982909644867,Dumfries & Galloway,Wigtownshire,Leswalt
131,"Mare Rock, Dumfries & Galloway (High Auchneel)",-577210,7349944,7.309207228409119e-13,-1.999998290121966,Dumfries & Galloway,Wigtownshire,Leswalt
132,"Fort Point, Larbrax Moor, Dumfries & Galloway (Salt Pans Bay, Galdenoch)",-576379,7343886,7.225858430912161e-13,-1.9999982998990111,Dumfries & Galloway,Wigtownshire,Leswalt
133,"Dunskirloch, Dumfries & Galloway",-574063,7363445,7.710334350166651e-13,-1.999998243829809,Dumfries & Galloway,Wigtownshire,Kirkcolm
134,"Cassington Ring, Oxfordshire (Cassington Mill Big Ring)",-150349,6761752,9.7754699784615e-13,-1.9999980225804717,Oxfordshire,Oxfordshire,Cassington
135,"Tadmarton Camp, Oxfordshire (Tadmarton Heath Camp)",-159865,6803384,9.221817637785155e-13,-1.9999980793940917,Oxfordshire,Oxfordshire,Tadmarton
136,"Madmarston Hill Camp, Oxfordshire (Madmarston Camp)",-159898,6808566,9.07524538929687e-13,-1.9999980947183527,Oxfordshire,Oxfordshire,Swalcliffe
137,"Alfred's Castle, Oxfordshire",-178279,6717069,1.1310411193438856e-12,-1.9999978729916603,Oxfordshire,Berkshire,Ashbury
138,"Castle Grove Camp, Oxfordshire (Wyfold Castle)",-113204,6714466,8.489746304425169e-13,-1.9999981572036136,Oxfordshire,Oxfordshire,Checkendon
139,"Bozedown Camp, Oxfordshire (Binditch)",-119597,6710127,8.735102411311893e-13,-1.9999981307646042,Oxfordshire,Berkshire,Whitchurch-on-Thames
140,"Blewburton Hill, Oxfordshire",-134852,6723179,9.428435557183584e-13,-1.999998057997368,Oxfordshire,Berkshire,Aston Upthorpe
141,"Little Coxwell Camp, Oxfordshire (Lower Coxwell Camp; Onetree Hill)",-176393,6734159,1.1185010449929034e-12,-1.9999978848158046,Oxfordshire,Berkshire,Little Coxwell
142,"Sinodun Hill Camp, Oxfordshire (Castle Hill)",-131205,6733292,9.251387812851923e-13,-1.9999980763173013,Oxfordshire,Berkshire,Little Wittenham
143,"Cherbury Camp, Oxfordshire",-162519,6739714,1.0556842440517455e-12,-1.99999794507008,Oxfordshire,Berkshire,Charney Bassett
144,"Badbury Camp, Oxfordshire",-180721,6737085,1.1343609448571818e-12,-1.9999978698723562,Oxfordshire,Berkshire,Great Coxwell
145,"Burroway, Oxfordshire",-173046,6746234,1.0936825617195366e-12,-1.999997908414418,Oxfordshire,Oxfordshire,Clanfield
146,"Uffington Castle, Oxfordshire (Woolstone Castle)",-174694,6723633,1.1158142641680052e-12,-1.999997887357802,Oxfordshire,Berkshire,Uffington
148,"Chastleton Camp, Oxfordshire (Chastleton Barrow)",-180929,6791428,1.0369672228554894e-12,-1.9999979633682485,Oxfordshire,Gloucestershire,Chastleton
149,"Bladon Camp, Oxfordshire (Round Castle)",-149011,6767818,9.619961416274482e-13,-1.9999980383719602,Oxfordshire,Oxfordshire,Bladon
151,"Ilbury Camp, Oxfordshire",-151852,6795153,9.139856358812818e-13,-1.9999980879480803,Oxfordshire,Oxfordshire,Deddington
152,"The Roundabout, Oxfordshire (Lyneham Camp; Merriscourt)",-174350,6780398,1.0384871720075743e-12,-1.9999979618761843,Oxfordshire,Oxfordshire,Lyneham
153,"Knollbury Camp, Oxfordshire (Knoll Bury Roman Camp; Knollberry, Banks)",-171609,6782903,1.0215379496173503e-12,-1.999997978576789,Oxfordshire,Oxfordshire,Chadlington
154,"Hardwell Camp, Oxfordshire",-176601,6724321,1.1236510744189286e-12,-1.9999978799518172,Oxfordshire,Berkshire,Compton Beauchamp
155,"Segsbury Camp, Oxfordshire (Letcombe Castle)",-160974,6720568,1.0574701964542714e-12,-1.999997943332602,Oxfordshire,Berkshire,Letcombe Regis
156,"Little Tew, Oxfordshire",-160783,6791560,9.57351260041175e-13,-1.9999980431134319,Oxfordshire,Oxfordshire,Little Tew
157,"Hill Farm, Bruern, Oxfordshire",-183269,6774148,1.0887611120639629e-12,-1.999997913125675,Oxfordshire,Gloucestershire,Bruern
158,"Eynsham Park Camp, Oxfordshire",-159271,6764254,1.010198473040843e-12,-1.9999979898273974,Oxfordshire,Oxfordshire,North Leigh
159,"Harborough Bank, Oxfordshire (Herborowe Bank)",-142900,6784894,9.041437851624288e-13,-1.999998098270487,Oxfordshire,Oxfordshire,Lower Heyford
161,"Wigginton Heath, Oxfordshire",-161071,6802727,9.285568296508234e-13,-1.9999980727669266,Oxfordshire,Oxfordshire,Hook Norton
162,"Castle Bank, Oxfordshire",-156836,6811846,8.867587480995118e-13,-1.9999981166426275,Oxfordshire,Oxfordshire,North Newington
164,"Horspath, Oxfordshire",-127445,6752297,8.961428327946159e-13,-1.9999981067035808,Oxfordshire,Oxfordshire,Horspath
165,"Silsbury Hill, Oxfordshire",-128690,6721313,9.161155606449855e-13,-1.9999980857214825,Oxfordshire,Berkshire,Cholsey
166,"Cholsey Hill, Oxfordshire",-130727,6725792,9.248703944476851e-13,-1.999998076596356,Oxfordshire,Berkshire,Cholsey
167,"Rams Hill, Oxfordshire",-172309,6723579,1.1057801053794314e-12,-1.9999978968784102,Oxfordshire,Berkshire,Uffington
168,"Bury Hill, Oxfordshire",-185480,6740704,1.150778781909118e-12,-1.999997854512846,Oxfordshire,Berkshire,Buscot
169,"Tilbury Farm, Oxfordshire",-145522,6756806,9.648248704484673e-13,-1.9999980354900149,Oxfordshire,Berkshire,Wytham
170,"Hill Wood, Oxfordshire",-155827,6780214,9.648332722035654e-13,-1.9999980354814613,Oxfordshire,Oxfordshire,Kiddington with Asterleigh
171,"Idbury Camp, Oxfordshire",-185792,6777385,1.091728381790008e-12,-1.9999979102838645,Oxfordshire,Gloucestershire,Idbury
172,"Dyke Hills, Oxfordshire (Dike Hills)",-130542,6735058,9.216098929508055e-13,-1.9999980799896948,Oxfordshire,Berkshire,Dorchester
173,"Abingdon, The Vineyard, Oxfordshire",-142388,6740992,9.683985736499732e-13,-1.9999980318551134,Oxfordshire,Berkshire,Abingdon
174,"Cookham Dean, Berkshire",-83430,6719369,7.381763305631385e-13,-1.999998281656227,Berkshire,Berkshire,Cookham
175,"Muldaddie, Dumfries & Galloway",-552673,7307065,7.601521514525208e-13,-1.9999982562659016,Dumfries & Galloway,Wigtownshire,Kirkmaiden
176,"Crammag Head, Dumfries & Galloway (Crammag Fort, Crammock, Crummag Head, Crammog (Fort, Slock Mill))",-552652,7297144,7.342180733351698e-13,-1.9999982862694805,Dumfries & Galloway,Wigtownshire,Kirkmaiden
177,"Dunman, Dumfries & Galloway",-551113,7296274,7.396567620610977e-13,-1.9999982799339988,Dumfries & Galloway,Wigtownshire,Kirkmaiden
178,"Kenmuir Graves, Island Buoy, Dumfries & Galloway (Float Bay)",-557567,7319237,7.644127102650479e-13,-1.9999982513860228,Dumfries & Galloway,Wigtownshire,Stoneykirk
179,"Dove Cave Head, Dumfries & Galloway (Little Float)",-558686,7319883,7.601273721664323e-13,-1.9999982562943228,Dumfries & Galloway,Wigtownshire,Stoneykirk
180,"Grennan, Grennan Point, Dumfries & Galloway",-555625,7313873,7.617833058930569e-13,-1.999998254396029,Dumfries & Galloway,Wigtownshire,Stoneykirk
181,"Duniehinnie, Mull of Logan, Dumfries & Galloway (Duniehinnie; Mullhill)",-555623,7311792,7.567421992014199e-13,-1.9999982601813897,Dumfries & Galloway,Wigtownshire,Kirkmaiden
182,"Clanghie Bay, Dumfries & Galloway (Clanghie Point)",-553477,7310133,7.637175796195614e-13,-1.9999982521812685,Dumfries & Galloway,Wigtownshire,Kirkmaiden
183,"Clanghie Point, Dumfries & Galloway (Mullhill)",-553823,7310153,7.619856038372693e-13,-1.9999982541642645,Dumfries & Galloway,Wigtownshire,Kirkmaiden
184,"Kildrochet House, Dumfries & Galloway (Camp's Graves; Kildrochat House)",-555509,7335979,8.108828953217738e-13,-1.9999981990192723,Dumfries & Galloway,Wigtownshire,Stoneykirk
185,"Dunbae Glen, Dumfries & Galloway",-559912,7338666,7.938574868065091e-13,-1.9999982180263898,Dumfries & Galloway,Wigtownshire,Inch
186,"Cairn Pat, Dumfries & Galloway (Cairn Piot)",-562060,7335390,7.764626981520315e-13,-1.9999982376575836,Dumfries & Galloway,Wigtownshire,Portpatrick
187,"Kirklauchline, Dumfries & Galloway",-563116,7325368,7.497152855959506e-13,-1.9999982682779835,Dumfries & Galloway,Wigtownshire,Stoneykirk
188,"The Dounan, Dumfries & Galloway",-566118,7328224,7.406494643193356e-13,-1.9999982787801251,Dumfries & Galloway,Wigtownshire,Stoneykirk
