fig_no,file_name,title
1,hillforts_primer_part02-001.png,Management: Condition
2,hillforts_primer_part02-002.png,Management Condition Extant 
3,hillforts_primer_part02-003.png,Management Condition Cropmark 
4,hillforts_primer_part02-004.png,Density Cropmark
5,hillforts_primer_part02-005.png,Management Condition Destroyed 
6,hillforts_primer_part02-006.png,Management: Land Use
7,hillforts_primer_part02-007.png,Management Land Use Woodland 
8,hillforts_primer_part02-008.png,Management Land Use Plantation 
9,hillforts_primer_part02-009.png,Management Land Use Parkland 
10,hillforts_primer_part02-010.png,Management Land Use Pasture 
11,hillforts_primer_part02-011.png,Management Land Use Arable 
12,hillforts_primer_part02-012.png,Management Land Use Scrub 
13,hillforts_primer_part02-013.png,Management Land Use Heath 
14,hillforts_primer_part02-014.png,Management Land Use Moorland 
15,hillforts_primer_part02-015.png,Rough Grazing (Moorland; Heath & Scrub Combined)
16,hillforts_primer_part02-016.png,Management Land Use Outcrop 
17,hillforts_primer_part02-017.png,Management Land Use Urban 
18,hillforts_primer_part02-018.png,Management Land Use Coastal 
19,hillforts_primer_part02-019.png,Management Land Use Other 
20,hillforts_primer_part02-020.png,Landscape Altitude
21,hillforts_primer_part02-021.png,Landscape Altitude Range
22,hillforts_primer_part02-022.png,Landscape Altitude
23,hillforts_primer_part02-023.png,Landscape Altitude   Clipped
24,hillforts_primer_part02-024.png,Landscape Altitude over 460m (Outliers)
25,hillforts_primer_part02-025.png,Landscape Altitude over 400m
26,hillforts_primer_part02-026.png,Density Landscape Altitude over 400m
27,hillforts_primer_part02-027.png,Landscape Altitude 300   399m
28,hillforts_primer_part02-028.png,Density Landscape Altitude 300   399m
29,hillforts_primer_part02-029.png,Landscape Altitude 200   299m
30,hillforts_primer_part02-030.png,Density Landscape Altitude 200   299m
31,hillforts_primer_part02-031.png,Landscape Altitude 100   199m
32,hillforts_primer_part02-032.png,Density Landscape Altitude 100   199m
33,hillforts_primer_part02-033.png,Landscape Altitude 0   99m
34,hillforts_primer_part02-034.png,Density Landscape Altitude 0   99m
35,hillforts_primer_part02-035.png,Hillfort Count by Altitude
36,hillforts_primer_part02-036.png,Landscape: Type
37,hillforts_primer_part02-037.png,Landscape Type Contour 
38,hillforts_primer_part02-038.png,Density Landscape Type Contour
39,hillforts_primer_part02-039.png,Landscape Type Partial 
40,hillforts_primer_part02-040.png,Density Landscape Type Partial
41,hillforts_primer_part02-041.png,Landscape Type Promontory 
42,hillforts_primer_part02-042.png,Density Landscape Type Promontory
43,hillforts_primer_part02-043.png,Landscape Type Hillslope 
44,hillforts_primer_part02-044.png,Density Landscape Type Hillslope
45,hillforts_primer_part02-045.png,Landscape Type Level 
46,hillforts_primer_part02-046.png,Density Landscape Type Level
47,hillforts_primer_part02-047.png,Landscape Type Marsh 
48,hillforts_primer_part02-048.png,Landscape Type Multiple 
49,hillforts_primer_part02-049.png,Density Landscape Type Multiple
50,hillforts_primer_part02-050.png,Landscape: Topography
51,hillforts_primer_part02-051.png,Landscape Topography Hilltop 
52,hillforts_primer_part02-052.png,Density Landscape Topography Hilltop
53,hillforts_primer_part02-053.png,Landscape Topography Coastal 
54,hillforts_primer_part02-054.png,Density Landscape Topography Coastal
55,hillforts_primer_part02-055.png,Landscape Topography Inland 
56,hillforts_primer_part02-056.png,Density Landscape Topography Inland
57,hillforts_primer_part02-057.png,Landscape Topography Valley 
58,hillforts_primer_part02-058.png,Landscape Topography Knoll 
59,hillforts_primer_part02-059.png,Density Landscape Topography Knoll
60,hillforts_primer_part02-060.png,Landscape Topography Ridge 
61,hillforts_primer_part02-061.png,Density Landscape Topography Ridge
62,hillforts_primer_part02-062.png,Landscape Topography Scarp 
63,hillforts_primer_part02-063.png,Density Landscape Topography Scarp
64,hillforts_primer_part02-064.png,Landscape Topography Hillslope 
65,hillforts_primer_part02-065.png,Density Landscape Topography Hillslope
66,hillforts_primer_part02-066.png,Landscape Topography Lowland 
67,hillforts_primer_part02-067.png,Landscape Topography Spur 
68,hillforts_primer_part02-068.png,Density Landscape Topography Spur
69,hillforts_primer_part02-069.png,Landscape: Aspect
70,hillforts_primer_part02-070.png,Landscape Aspect (Excluding Level)
71,hillforts_primer_part02-071.png,Landscape Aspect N 
72,hillforts_primer_part02-072.png,Density Landscape Aspect N
73,hillforts_primer_part02-073.png,Landscape Aspect NE 
74,hillforts_primer_part02-074.png,Density Landscape Aspect NE
75,hillforts_primer_part02-075.png,Landscape Aspect E 
76,hillforts_primer_part02-076.png,Density Landscape Aspect E
77,hillforts_primer_part02-077.png,Landscape Aspect SE 
78,hillforts_primer_part02-078.png,Density Landscape Aspect SE
79,hillforts_primer_part02-079.png,Landscape Aspect S 
80,hillforts_primer_part02-080.png,Density Landscape Aspect S
81,hillforts_primer_part02-081.png,Landscape Aspect SW 
82,hillforts_primer_part02-082.png,Density Landscape Aspect SW
83,hillforts_primer_part02-083.png,Landscape Aspect W 
84,hillforts_primer_part02-084.png,Density Landscape Aspect W
85,hillforts_primer_part02-085.png,Landscape Aspect NW 
86,hillforts_primer_part02-086.png,Density Landscape Aspect NW
87,hillforts_primer_part02-087.png,Landscape Aspect Level 
88,hillforts_primer_part02-088.png,Density Landscape Aspect Level
