fig_no,file_name,title
1,hillforts_primer_appendix01-001.png,Southern Density Transformed Showing Hillforts Over 21 Ha (South Only)
2,hillforts_primer_appendix01-002.png,Southern Density Transformed Showing Hillforts of 21 Ha & Over (South)
3,hillforts_primer_appendix01-003.png,Hillfort distances to H1 line
4,hillforts_primer_appendix01-004.png,Hillfort distances to the first random line
5,hillforts_primer_appendix01-005.png,Hillfort distances from 1500 random lines
6,hillforts_primer_appendix01-006.png,Mean Squared Error for hillforts offset from test lines   H1 MSE shown in red.
7,hillforts_primer_appendix01-007.png,Boxplot of Mean Squared Error for hillforts offset from test lines with H1 MSE shown in red. (wiskers at 2.5 & 97.5%)
